"id","no","height","weight","order","isDefault"
"2-n1","001","7","69","1","true"
"2-n2","002","10","130","2","true"
"2-n3","003","20","1000","3","true"
"2-n3m","003","24","1555","3","false"
"2-n4","004","6","85","4","true"
"2-n5","005","11","190","5","true"
"2-n6","006","17","905","6","true"
"2-n6x","006","17","1105","6","false"
"2-n6y","006","17","1005","6","false"
"2-n7","007","5","90","7","true"
"2-n8","008","10","225","8","true"
"2-n9","009","16","855","9","true"
"2-n9m","009","16","1011","9","false"
"2-n10","010","3","29","10","true"
"2-n11","011","7","99","11","true"
"2-n12","012","11","320","12","true"
"2-n13","013","3","32","13","true"
"2-n14","014","6","100","14","true"
"2-n15","015","10","295","15","true"
"2-n15m","015","14","405","15","false"
"2-n16","016","3","18","16","true"
"2-n17","017","11","300","17","true"
"2-n18","018","15","395","18","true"
"2-n18m","018","22","505","18","false"
"2-n19","019","3","35","19","true"
"2-n19a","019","3","38","19","false"
"2-n20","020","7","185","20","true"
"2-n20a","020","7","255","20","false"
"2-n21","021","3","20","21","true"
"2-n22","022","12","380","22","true"
"2-n23","023","20","69","23","true"
"2-n24","024","35","650","24","true"
"2-n25","025","4","60","25","true"
"2-n25b","025","4","60","25","false"
"2-n26","026","8","300","26","true"
"2-n26a","026","7","210","26","false"
"2-n27","027","6","120","27","true"
"2-n27a","027","7","400","27","false"
"2-n28","028","10","295","28","true"
"2-n28a","028","12","550","28","false"
"2-n29","029","4","70","29","true"
"2-n30","030","8","200","30","true"
"2-n31","031","13","600","31","true"
"2-n32","032","5","90","32","true"
"2-n33","033","9","195","33","true"
"2-n34","034","14","620","34","true"
"2-n35","035","6","75","35","true"
"2-n36","036","13","400","36","true"
"2-n37","037","6","99","37","true"
"2-n37a","037","6","99","37","false"
"2-n38","038","11","199","38","true"
"2-n38a","038","11","199","38","false"
"2-n39","039","5","55","39","true"
"2-n40","040","10","120","40","true"
"2-n41","041","8","75","41","true"
"2-n42","042","16","550","42","true"
"2-n43","043","5","54","43","true"
"2-n44","044","8","86","44","true"
"2-n45","045","12","186","45","true"
"2-n46","046","3","54","46","true"
"2-n47","047","10","295","47","true"
"2-n48","048","10","300","48","true"
"2-n49","049","15","125","49","true"
"2-n50","050","2","8","50","true"
"2-n50a","050","2","10","50","false"
"2-n51","051","7","333","51","true"
"2-n51a","051","7","666","51","false"
"2-n52","052","4","42","52","true"
"2-n52a","052","4","42","52","false"
"2-n53","053","10","320","53","true"
"2-n53a","053","11","330","53","false"
"2-n54","054","8","196","54","true"
"2-n55","055","17","766","55","true"
"2-n56","056","5","280","56","true"
"2-n57","057","10","320","57","true"
"2-n58","058","7","190","58","true"
"2-n59","059","19","1550","59","true"
"2-n60","060","6","124","60","true"
"2-n61","061","10","200","61","true"
"2-n62","062","13","540","62","true"
"2-n63","063","9","195","63","true"
"2-n64","064","13","565","64","true"
"2-n65","065","15","480","65","true"
"2-n65m","065","12","480","65","false"
"2-n66","066","8","195","66","true"
"2-n67","067","15","705","67","true"
"2-n68","068","16","1300","68","true"
"2-n69","069","7","40","69","true"
"2-n70","070","10","64","70","true"
"2-n71","071","17","155","71","true"
"2-n72","072","9","455","72","true"
"2-n73","073","16","550","73","true"
"2-n74","074","4","200","74","true"
"2-n74a","074","4","203","74","false"
"2-n75","075","10","1050","75","true"
"2-n75a","075","10","1100","75","false"
"2-n76","076","14","3000","76","true"
"2-n76a","076","17","3160","76","false"
"2-n77","077","10","300","77","true"
"2-n78","078","17","950","78","true"
"2-n79","079","12","360","79","true"
"2-n80","080","16","785","80","true"
"2-n80m","080","20","1200","80","false"
"2-n81","081","3","60","81","true"
"2-n82","082","10","600","82","true"
"2-n83","083","8","150","83","true"
"2-n84","084","14","392","84","true"
"2-n85","085","18","852","85","true"
"2-n86","086","11","900","86","true"
"2-n87","087","17","1200","87","true"
"2-n88","088","9","300","88","true"
"2-n88a","088","7","420","88","false"
"2-n89","089","12","300","89","true"
"2-n89a","089","10","520","89","false"
"2-n90","090","3","40","90","true"
"2-n91","091","15","1325","91","true"
"2-n92","092","13","1","92","true"
"2-n93","093","16","1","93","true"
"2-n94","094","15","405","94","true"
"2-n94m","094","14","405","94","false"
"2-n95","095","88","2100","95","true"
"2-n96","096","10","324","96","true"
"2-n97","097","16","756","97","true"
"2-n98","098","4","65","98","true"
"2-n99","099","13","600","99","true"
"2-n100","100","5","104","100","true"
"2-n101","101","12","666","101","true"
"2-n102","102","4","25","102","true"
"2-n103","103","20","1200","103","true"
"2-n103a","103","109","4156","103","false"
"2-n104","104","4","65","104","true"
"2-n105","105","10","450","105","true"
"2-n105a","105","10","340","105","false"
"2-n106","106","15","498","106","true"
"2-n107","107","14","502","107","true"
"2-n108","108","12","655","108","true"
"2-n109","109","6","10","109","true"
"2-n110","110","12","95","110","true"
"2-n111","111","10","1150","111","true"
"2-n112","112","19","1200","112","true"
"2-n113","113","11","346","113","true"
"2-n114","114","10","350","114","true"
"2-n115","115","22","800","115","true"
"2-n115m","115","22","1000","115","false"
"2-n116","116","4","80","116","true"
"2-n117","117","12","250","117","true"
"2-n118","118","6","150","118","true"
"2-n119","119","13","390","119","true"
"2-n120","120","8","345","120","true"
"2-n121","121","11","800","121","true"
"2-n122","122","13","545","122","true"
"2-n123","123","15","560","123","true"
"2-n124","124","14","406","124","true"
"2-n125","125","11","300","125","true"
"2-n126","126","13","445","126","true"
"2-n127","127","15","550","127","true"
"2-n127m","127","17","590","127","false"
"2-n128","128","14","884","128","true"
"2-n129","129","9","100","129","true"
"2-n130","130","65","2350","130","true"
"2-n130m","130","65","3050","130","false"
"2-n131","131","25","2200","131","true"
"2-n132","132","3","40","132","true"
"2-n133","133","3","65","133","true"
"2-n133b","133","3","65","133","false"
"2-n134","134","10","290","134","true"
"2-n135","135","8","245","135","true"
"2-n136","136","9","250","136","true"
"2-n137","137","8","365","137","true"
"2-n138","138","4","75","138","true"
"2-n139","139","10","350","139","true"
"2-n140","140","5","115","140","true"
"2-n141","141","13","405","141","true"
