"pokemonId","evolutionChainId","order"
"3-n100","3-n100","1"
"3-n100","3-n101","2"
"3-n100h","3-n100","1"
"3-n100h","3-n101","2"
"3-n101","3-n100","1"
"3-n101","3-n101","2"
"3-n101h","3-n100","1"
"3-n101h","3-n101","2"
"3-n102","3-n102","1"
"3-n102","3-n103","2"
"3-n102","3-n103a","5"
"3-n103","3-n102","1"
"3-n103","3-n103","2"
"3-n103","3-n103a","5"
"3-n103a","3-n102","1"
"3-n103a","3-n103","2"
"3-n103a","3-n103a","5"
"3-n104","3-n104","1"
"3-n104","3-n105","2"
"3-n104","3-n105a","4"
"3-n105","3-n104","1"
"3-n105","3-n105","2"
"3-n105","3-n105a","4"
"3-n105a","3-n104","1"
"3-n105a","3-n105","2"
"3-n105a","3-n105a","4"
"3-n106","3-n236","1"
"3-n106","3-n106","2"
"3-n106","3-n107","3"
"3-n106","3-n237","4"
"3-n107","3-n236","1"
"3-n107","3-n106","2"
"3-n107","3-n107","3"
"3-n107","3-n237","4"
"3-n108","3-n108","1"
"3-n108","3-n463","2"
"3-n109","3-n109","1"
"3-n109","3-n110","2"
"3-n109","3-n110g","3"
"3-n110","3-n109","1"
"3-n110","3-n110","2"
"3-n110","3-n110g","3"
"3-n110g","3-n109","1"
"3-n110g","3-n110","2"
"3-n110g","3-n110g","3"
"3-n111","3-n111","1"
"3-n111","3-n112","2"
"3-n111","3-n464","3"
"3-n112","3-n111","1"
"3-n112","3-n112","2"
"3-n112","3-n464","3"
"3-n113","3-n440","1"
"3-n113","3-n113","2"
"3-n113","3-n242","4"
"3-n114","3-n114","1"
"3-n114","3-n465","2"
"3-n115","3-n115","1"
"3-n115m","3-n115m","1"
"3-n116","3-n116","1"
"3-n116","3-n117","2"
"3-n116","3-n230","3"
"3-n117","3-n116","1"
"3-n117","3-n117","2"
"3-n117","3-n230","3"
"3-n118","3-n118","1"
"3-n118","3-n119","2"
"3-n119","3-n118","1"
"3-n119","3-n119","2"
"3-n120","3-n120","1"
"3-n120","3-n121","2"
"3-n121","3-n120","1"
"3-n121","3-n121","2"
"3-n122","3-n439","1"
"3-n122","3-n122","2"
"3-n122","3-n122g","3"
"3-n122","3-n866","4"
"3-n122g","3-n439","1"
"3-n122g","3-n122","2"
"3-n122g","3-n122g","3"
"3-n122g","3-n866","4"
"3-n123","3-n123","1"
"3-n123","3-n212","2"
"3-n124","3-n238","1"
"3-n124","3-n124","2"
"3-n125","3-n239","1"
"3-n125","3-n125","2"
"3-n125","3-n466","3"
"3-n126","3-n240","1"
"3-n126","3-n126","2"
"3-n126","3-n467","3"
"3-n127","3-n127","1"
"3-n127m","3-n127m","1"
"3-n128","3-n128","1"
"3-n129","3-n129","1"
"3-n129","3-n130","2"
"3-n130","3-n129","1"
"3-n130","3-n130","2"
"3-n130m","3-n129","1"
"3-n130m","3-n130","2"
"3-n131","3-n131","1"
"3-n132","3-n132","1"
"3-n133","3-n133","1"
"3-n133","3-n134","2"
"3-n133","3-n135","4"
"3-n133","3-n136","6"
"3-n133","3-n196","8"
"3-n133","3-n197","9"
"3-n133","3-n470","10"
"3-n133","3-n471","13"
"3-n133","3-n700","16"
"3-n134","3-n133","1"
"3-n134","3-n134","2"
"3-n134","3-n135","4"
"3-n134","3-n136","6"
"3-n134","3-n196","8"
"3-n134","3-n197","9"
"3-n134","3-n470","10"
"3-n134","3-n471","13"
"3-n134","3-n700","16"
"3-n135","3-n133","1"
"3-n135","3-n134","2"
"3-n135","3-n135","4"
"3-n135","3-n136","6"
"3-n135","3-n196","8"
"3-n135","3-n197","9"
"3-n135","3-n470","10"
"3-n135","3-n471","13"
"3-n135","3-n700","16"
"3-n136","3-n133","1"
"3-n136","3-n134","2"
"3-n136","3-n135","4"
"3-n136","3-n136","6"
"3-n136","3-n196","8"
"3-n136","3-n197","9"
"3-n136","3-n470","10"
"3-n136","3-n471","13"
"3-n136","3-n700","16"
"3-n137","3-n137","1"
"3-n137","3-n233","2"
"3-n137","3-n474","4"
"3-n138","3-n138","1"
"3-n138","3-n139","2"
"3-n139","3-n138","1"
"3-n139","3-n139","2"
"3-n140","3-n140","1"
"3-n140","3-n141","2"
"3-n141","3-n140","1"
"3-n141","3-n141","2"
"3-n142","3-n142","1"
"3-n142m","3-n142m","1"
"3-n143","3-n446","1"
"3-n143","3-n143","2"
"3-n144","3-n144","1"
"3-n144g","3-n144g","1"
"3-n145","3-n145","1"
"3-n145g","3-n145g","1"
"3-n146","3-n146","1"
"3-n146g","3-n146g","1"
"3-n147","3-n147","1"
"3-n147","3-n148","2"
"3-n147","3-n149","3"
"3-n148","3-n147","1"
"3-n148","3-n148","2"
"3-n148","3-n149","3"
"3-n149","3-n147","1"
"3-n149","3-n148","2"
"3-n149","3-n149","3"
"3-n15","3-n13","1"
"3-n15","3-n14","2"
"3-n15","3-n15","3"
"3-n150","3-n150","1"
"3-n150x","3-n150x","1"
"3-n150y","3-n150y","1"
"3-n151","3-n151","1"
"3-n152","3-n152","1"
"3-n152","3-n153","2"
"3-n152","3-n154","3"
"3-n153","3-n152","1"
"3-n153","3-n153","2"
"3-n153","3-n154","3"
"3-n154","3-n152","1"
"3-n154","3-n153","2"
"3-n154","3-n154","3"
"3-n155","3-n155","1"
"3-n155","3-n156","2"
"3-n155","3-n157","3"
"3-n155","3-n157h","4"
"3-n156","3-n155","1"
"3-n156","3-n156","2"
"3-n156","3-n157","3"
"3-n156","3-n157h","4"
"3-n157","3-n155","1"
"3-n157","3-n156","2"
"3-n157","3-n157","3"
"3-n157","3-n157h","4"
"3-n157h","3-n155","1"
"3-n157h","3-n156","2"
"3-n157h","3-n157","3"
"3-n157h","3-n157h","4"
"3-n158","3-n158","1"
"3-n158","3-n159","2"
"3-n158","3-n160","3"
"3-n159","3-n158","1"
"3-n159","3-n159","2"
"3-n159","3-n160","3"
"3-n15m","3-n13","1"
"3-n15m","3-n14","2"
"3-n15m","3-n15","3"
"3-n16","3-n16","1"
"3-n16","3-n17","2"
"3-n16","3-n18","3"
"3-n160","3-n158","1"
"3-n160","3-n159","2"
"3-n160","3-n160","3"
"3-n161","3-n161","1"
"3-n161","3-n162","2"
"3-n162","3-n161","1"
"3-n162","3-n162","2"
"3-n163","3-n163","1"
"3-n163","3-n164","2"
"3-n164","3-n163","1"
"3-n164","3-n164","2"
"3-n165","3-n165","1"
"3-n165","3-n166","2"
"3-n166","3-n165","1"
"3-n166","3-n166","2"
"3-n167","3-n167","1"
"3-n167","3-n168","2"
"3-n168","3-n167","1"
"3-n168","3-n168","2"
"3-n169","3-n41","1"
"3-n169","3-n42","2"
"3-n169","3-n169","3"
"3-n17","3-n16","1"
"3-n17","3-n17","2"
"3-n17","3-n18","3"
"3-n170","3-n170","1"
"3-n170","3-n171","2"
"3-n171","3-n170","1"
"3-n171","3-n171","2"
"3-n172","3-n172","1"
"3-n172","3-n25","2"
"3-n172","3-n26","3"
"3-n172","3-n26a","6"
"3-n173","3-n173","1"
"3-n173","3-n35","2"
"3-n173","3-n36","3"
"3-n174","3-n174","1"
"3-n174","3-n39","2"
"3-n174","3-n40","3"
"3-n175","3-n175","1"
"3-n175","3-n176","2"
"3-n175","3-n468","3"
"3-n176","3-n175","1"
"3-n176","3-n176","2"
"3-n176","3-n468","3"
"3-n177","3-n177","1"
"3-n177","3-n178","2"
"3-n178","3-n177","1"
"3-n178","3-n178","2"
"3-n179","3-n179","1"
