"pokemonId","typeId"
"3-n100","12"
"3-n100h","12"
"3-n101","12"
"3-n101h","12"
"3-n102","11"
"3-n102","13"
"3-n103","11"
"3-n103","13"
"3-n103a","11"
"3-n103a","15"
"3-n104","4"
"3-n105","4"
"3-n105a","9"
"3-n105a","7"
"3-n106","1"
"3-n107","1"
"3-n108","0"
"3-n109","3"
"3-n110","3"
"3-n110g","3"
"3-n110g","17"
"3-n111","4"
"3-n111","5"
"3-n112","4"
"3-n112","5"
"3-n113","0"
"3-n114","11"
"3-n115","0"
"3-n115m","0"
"3-n116","10"
"3-n117","10"
"3-n118","10"
"3-n119","10"
"3-n120","10"
"3-n121","10"
"3-n121","13"
"3-n122","13"
"3-n122","17"
"3-n122g","14"
"3-n122g","13"
"3-n123","6"
"3-n123","2"
"3-n124","14"
"3-n124","13"
"3-n125","12"
"3-n126","9"
"3-n127","6"
"3-n127m","6"
"3-n127m","2"
"3-n128","0"
"3-n129","10"
"3-n130","10"
"3-n130","2"
"3-n130m","10"
"3-n130m","16"
"3-n131","10"
"3-n131","14"
"3-n132","0"
"3-n133","0"
"3-n134","10"
"3-n135","12"
"3-n136","9"
"3-n137","0"
"3-n138","5"
"3-n138","10"
"3-n139","5"
"3-n139","10"
"3-n140","5"
"3-n140","10"
"3-n141","5"
"3-n141","10"
"3-n142","5"
"3-n142","2"
"3-n142m","5"
"3-n142m","2"
"3-n143","0"
"3-n144","14"
"3-n144","2"
"3-n144g","13"
"3-n144g","2"
"3-n145","12"
"3-n145","2"
"3-n145g","1"
"3-n145g","2"
"3-n146","9"
"3-n146","2"
"3-n146g","16"
"3-n146g","2"
"3-n147","15"
"3-n148","15"
"3-n149","15"
"3-n149","2"
"3-n15","6"
"3-n15","3"
"3-n150","13"
"3-n150x","13"
"3-n150x","1"
"3-n150y","13"
"3-n151","13"
"3-n152","11"
"3-n153","11"
"3-n154","11"
"3-n155","9"
"3-n156","9"
"3-n157","9"
"3-n157h","9"
"3-n158","10"
"3-n159","10"
"3-n15m","6"
"3-n15m","3"
"3-n16","0"
"3-n16","2"
"3-n160","10"
"3-n161","0"
"3-n162","0"
"3-n163","0"
"3-n163","2"
"3-n164","0"
"3-n164","2"
"3-n165","6"
"3-n165","2"
"3-n166","6"
"3-n166","2"
"3-n167","6"
"3-n167","3"
"3-n168","6"
"3-n168","3"
"3-n169","3"
"3-n169","2"
"3-n17","0"
"3-n17","2"
"3-n170","10"
"3-n170","12"
"3-n171","10"
"3-n171","12"
"3-n172","12"
"3-n173","17"
"3-n174","0"
"3-n174","17"
"3-n175","17"
"3-n176","17"
"3-n176","2"
"3-n177","13"
"3-n177","2"
"3-n178","13"
"3-n178","2"
"3-n179","12"
"3-n18","0"
"3-n18","2"
"3-n180","12"
"3-n181","12"
"3-n181m","12"
"3-n181m","15"
"3-n182","11"
"3-n183","10"
"3-n183","17"
"3-n184","10"
"3-n184","17"
"3-n185","5"
"3-n186","10"
"3-n187","11"
"3-n187","2"
"3-n188","11"
"3-n188","2"
"3-n189","11"
"3-n189","2"
"3-n18m","0"
"3-n18m","2"
"3-n19","0"
"3-n190","0"
"3-n191","11"
"3-n192","11"
"3-n193","6"
"3-n193","2"
"3-n194","10"
"3-n194","4"
"3-n195","10"
"3-n195","4"
"3-n196","13"
"3-n197","16"
"3-n198","16"
"3-n198","2"
"3-n199","10"
"3-n199","13"
"3-n199g","3"
"3-n199g","13"
"3-n19a","16"
"3-n19a","0"
"3-n20","0"
"3-n200","7"
"3-n201","13"
"3-n202","13"
"3-n203","0"
"3-n203","13"
"3-n204","6"
"3-n205","6"
"3-n205","8"
"3-n206","0"
"3-n207","4"
"3-n207","2"
"3-n208","8"
"3-n208","4"
"3-n208m","8"
"3-n208m","4"
"3-n209","17"
"3-n20a","16"
"3-n20a","0"
"3-n21","0"
"3-n21","2"
"3-n210","17"
"3-n211","10"
"3-n211","3"
"3-n212","6"
"3-n212","8"
"3-n212m","6"
"3-n212m","8"
"3-n213","6"
"3-n213","5"
"3-n214","6"
"3-n214","1"
"3-n214m","6"
"3-n214m","1"
"3-n215","16"
"3-n215","14"
"3-n216","0"
"3-n217","0"
"3-n218","9"
"3-n219","9"
