"id","no","height","weight","order","isDefault"
"3-n1","001","680","7","1","true"
"3-n2","002","690","10","2","true"
"3-n3","003","700","20","3","true"
"3-n4","004","3780","6","4","true"
"3-n5","005","3790","11","5","true"
"3-n6","006","3800","17","6","true"
"3-n7","007","710","5","7","true"
"3-n8","008","720","10","8","true"
"3-n9","009","730","16","9","true"
"3-n10","010","130","3","10","true"
"3-n11","011","140","7","11","true"
"3-n12","012","150","11","12","true"
"3-n25","025","1940","850","25","true"
"3-n26","026","1950","860","26","true"
"3-n26a","026","860","7","26","false"
"3-n27","027","1680","6","27","true"
"3-n27a","027","1680","7","27","false"
"3-n28","028","1690","10","28","true"
"3-n28a","028","1690","12","28","false"
"3-n29","029","650","4","29","true"
"3-n30","030","660","8","30","true"
"3-n31","031","670","13","31","true"
"3-n32","032","680","5","32","true"
"3-n33","033","690","9","33","true"
"3-n34","034","700","14","34","true"
"3-n35","035","2550","440","35","true"
"3-n36","036","2560","450","36","true"
"3-n37","037","680","6","37","true"
"3-n37a","037","680","6","37","false"
"3-n38","038","690","11","38","true"
"3-n38a","038","690","11","38","false"
"3-n39","039","120","5","39","true"
"3-n40","040","130","10","40","true"
"3-n41","041","1440","8","41","true"
"3-n42","042","1450","16","42","true"
"3-n43","043","550","5","43","true"
"3-n44","044","560","8","44","true"
"3-n45","045","570","12","45","true"
"3-n50","050","1640","2","50","true"
"3-n50a","050","1640","2","50","false"
"3-n51","051","1650","7","51","true"
"3-n51a","051","1650","7","51","false"
"3-n52","052","1820","4","52","true"
"3-n52a","052","1820","4","52","false"
"3-n52g","052","1820","4","52","false"
"3-n53","053","1840","10","53","true"
"3-n53a","053","1840","11","53","false"
"3-n54","054","1460","8","54","true"
"3-n55","055","1470","17","55","true"
"3-n58","058","700","7","58","true"
"3-n59","059","710","19","59","true"
"3-n60","060","1420","6","60","true"
"3-n61","061","1430","10","61","true"
"3-n62","062","1440","13","62","true"
"3-n63","063","310","9","63","true"
"3-n64","064","320","13","64","true"
"3-n65","065","330","15","65","true"
"3-n66","066","1380","8","66","true"
"3-n67","067","1390","15","67","true"
"3-n68","068","1400","16","68","true"
"3-n72","072","400","9","72","true"
"3-n73","073","410","16","73","true"
"3-n77","077","1050","10","77","true"
"3-n77g","077","3330","1050","77","false"
"3-n78","078","1060","17","78","true"
"3-n78g","078","3340","1060","78","false"
"3-n79","079","10","12","79","true"
"3-n79g","079","10","12","79","false"
"3-n80","080","20","16","80","true"
"3-n80g","080","20","16","80","false"
"3-n81","081","1050","3","81","true"
"3-n82","082","1060","10","82","true"
"3-n83","083","2180","8","83","true"
"3-n83g","083","2180","8","83","false"
"3-n90","090","1500","1310","90","true"
"3-n91","091","1510","1320","91","true"
"3-n92","092","1410","13","92","true"
"3-n93","093","1420","16","93","true"
"3-n94","094","1430","15","94","true"
"3-n95","095","1780","88","95","true"
"3-n98","098","980","380","98","true"
"3-n99","099","990","390","99","true"
"3-n102","102","2050","4","102","true"
"3-n103","103","2060","20","103","true"
"3-n103a","103","2060","109","103","false"
"3-n104","104","1700","4","104","true"
"3-n105","105","1710","10","105","true"
"3-n105a","105","1710","10","105","false"
"3-n106","106","1080","15","106","true"
"3-n107","107","1090","14","107","true"
"3-n108","108","540","12","108","true"
"3-n109","109","2500","6","109","true"
"3-n110","110","2510","12","110","true"
"3-n110g","110","2510","30","110","false"
"3-n111","111","2640","1830","111","true"
"3-n112","112","2650","1840","112","true"
"3-n113","113","70","11","113","true"
"3-n114","114","800","10","114","true"
"3-n115","115","1720","22","115","true"
"3-n116","116","1980","4","116","true"
"3-n117","117","1990","12","117","true"
"3-n118","118","1460","940","118","true"
"3-n119","119","1470","950","119","true"
"3-n120","120","980","8","120","true"
"3-n121","121","990","11","121","true"
"3-n122","122","3650","110","122","true"
"3-n122g","122","3650","110","122","false"
"3-n123","123","1180","15","123","true"
"3-n124","124","140","14","124","true"
"3-n125","125","160","11","125","true"
"3-n126","126","190","13","126","true"
"3-n127","127","1200","15","127","true"
"3-n128","128","1160","14","128","true"
"3-n129","129","1440","420","129","true"
"3-n130","130","1450","430","130","true"
"3-n131","131","3610","1900","131","true"
"3-n132","132","3730","2070","132","true"
"3-n133","133","1960","740","133","true"
"3-n134","134","1970","750","134","true"
"3-n135","135","1980","760","135","true"
"3-n136","136","1990","770","136","true"
"3-n137","137","2080","8","137","true"
"3-n138","138","1230","4","138","true"
"3-n139","139","1240","10","139","true"
"3-n140","140","1250","5","140","true"
"3-n141","141","1260","13","141","true"
"3-n142","142","1270","18","142","true"
"3-n143","143","2610","1730","143","true"
"3-n144","144","2020","17","144","true"
"3-n144g","144","2020","17","144","false"
"3-n145","145","2030","16","145","true"
"3-n145g","145","2030","16","145","false"
"3-n146","146","2040","20","146","true"
"3-n146g","146","2040","20","146","false"
"3-n147","147","1940","18","147","true"
"3-n148","148","1950","40","148","true"
"3-n149","149","1960","22","149","true"
"3-n150","150","20","1220","150","true"
"3-n151","151","4","40","151","true"
"3-n163","163","190","7","163","true"
"3-n164","164","200","16","164","true"
"3-n169","169","1460","18","169","true"
"3-n170","170","2200","1880","170","true"
"3-n171","171","2210","1890","171","true"
"3-n172","172","1930","840","172","true"
"3-n173","173","2540","430","173","true"
"3-n174","174","110","3","174","true"
"3-n175","175","2570","3","175","true"
"3-n176","176","2580","6","176","true"
"3-n177","177","920","2","177","true"
"3-n178","178","930","15","178","true"
"3-n182","182","580","4","182","true"
"3-n183","183","1400","4","183","true"
"3-n184","184","1410","8","184","true"
"3-n185","185","2530","12","185","true"
"3-n186","186","1450","11","186","true"
"3-n194","194","1000","580","194","true"
"3-n195","195","1010","590","195","true"
"3-n196","196","2000","790","196","true"
"3-n197","197","2010","780","197","true"
"3-n199","199","30","20","199","true"
"3-n199g","199","30","18","199","false"
"3-n202","202","2170","13","202","true"
"3-n206","206","520","15","206","true"
"3-n208","208","1790","92","208","true"
"3-n211","211","3040","5","211","true"
"3-n212","212","1190","18","212","true"
"3-n213","213","2270","1700","213","true"
"3-n214","214","1210","15","214","true"
"3-n215","215","2920","280","215","true"
"3-n220","220","750","70","220","true"
"3-n221","221","760","80","221","true"
"3-n222","222","2360","6","222","true"
"3-n222g","222","2360","6","222","false"
"3-n223","223","1480","440","223","true"
"3-n224","224","1490","450","224","true"
"3-n225","225","780","1200","225","true"
"3-n226","226","3550","470","226","true"
"3-n227","227","1530","17","227","true"
"3-n230","230","2000","18","230","true"
"3-n233","233","2090","6","233","true"
"3-n236","236","1070","7","236","true"
"3-n237","237","1100","14","237","true"
"3-n238","238","130","4","238","true"
"3-n239","239","150","6","239","true"
"3-n240","240","180","7","240","true"
"3-n241","241","1170","12","241","true"
"3-n242","242","80","15","242","true"
"3-n243","243","19","1780","243","true"
"3-n244","244","21","1980","244","true"
"3-n245","245","20","1870","245","true"
"3-n246","246","3830","1390","246","true"
"3-n247","247","3840","1400","247","true"
"3-n248","248","3850","1410","248","true"
"3-n249","249","52","2160","249","true"
"3-n250","250","38","1990","250","true"
"3-n251","251","6","50","251","true"
"3-n252","252","5","50","252","true"
"3-n253","253","9","216","253","true"
"3-n254","254","17","522","254","true"
"3-n255","255","4","25","255","true"
"3-n256","256","9","195","256","true"
"3-n257","257","19","520","257","true"
"3-n258","258","4","76","258","true"
"3-n259","259","7","280","259","true"
"3-n260","260","15","819","260","true"
"3-n263","263","710","4","263","true"
"3-n263g","263","310","710","263","false"
"3-n264","264","720","5","264","true"
"3-n264g","264","320","720","264","false"
"3-n270","270","360","5","270","true"
"3-n271","271","370","12","271","true"
"3-n272","272","380","15","272","true"
"3-n273","273","390","5","273","true"
"3-n274","274","400","10","274","true"
"3-n275","275","410","13","275","true"
"3-n278","278","620","480","278","true"
"3-n279","279","630","490","279","true"
"3-n280","280","1200","340","280","true"
"3-n281","281","1210","350","281","true"
"3-n282","282","1220","360","282","true"
"3-n290","290","1040","5","290","true"
"3-n291","291","1050","8","291","true"
"3-n292","292","1060","8","292","true"
"3-n293","293","1480","6","293","true"
"3-n294","294","1490","10","294","true"
"3-n295","295","1500","15","295","true"
"3-n298","298","1390","2","298","true"
"3-n302","302","2940","1740","302","true"
"3-n303","303","2950","1750","303","true"
"3-n304","304","1910","4","304","true"
"3-n305","305","1920","9","305","true"
