"id","name","type","power1","power2","pp","accuracy","priority","damageType","isDirect","canProtect"
"4-1","3ぼんのや","1","90","","10","100","0","物理","false","false"
"4-2","アーマーキャノン","9","120","","5","100","0","特殊","false","false"
"4-3","アームハンマー","1","100","","10","90","0","物理","false","true"
"4-4","アイアンテール","8","100","","15","75","0","物理","false","true"
"4-5","アイアンヘッド","8","80","","15","100","0","物理","false","true"
"4-6","アイアンローラー","8","130","","5","100","0","物理","false","true"
"4-7","アイススピナー","14","80","","15","100","0","物理","false","true"
"4-8","アイスハンマー","14","100","","10","90","0","物理","false","true"
"4-9","アクアカッター","10","70","","20","100","0","物理","false","false"
"4-10","アクアジェット","10","40","","20","100","1","物理","false","true"
"4-11","アクアステップ","10","80","","10","100","0","物理","false","true"
"4-12","アクアテール","10","90","","10","90","0","物理","false","true"
"4-13","アクアブレイク","10","85","","10","100","0","物理","false","true"
"4-14","アクアリング","10","-","","20","-","0","変化","false","false"
"4-15","あくうせつだん","15","100","","5","95","0","特殊","false","false"
"4-16","アクセルブレイク","1","100","","5","100","0","物理","false","true"
"4-17","アクセルロック","5","40","","20","100","1","物理","false","true"
"4-18","あくのはどう","16","80","","15","100","0","特殊","false","false"
"4-19","あくび","0","-","","10","-","0","変化","false","false"
"4-20","アクロバット","2","55","","15","100","0","物理","false","true"
"4-21","あさのひざし","0","-","","5","-","0","変化","false","false"
"4-22","アシストパワー","13","20","","10","100","0","特殊","false","false"
"4-23","アシッドボム","3","40","","20","100","0","特殊","false","false"
"4-24","アストラルビット","7","120","","5","100","0","特殊","false","false"
"4-25","あなをほる","4","80","","10","100","0","物理","false","true"
"4-26","あばれる","0","120","","10","100","0","物理","false","true"
"4-27","あまいかおり","0","-","","20","100","0","変化","false","false"
"4-28","あまえる","17","-","","20","100","0","変化","false","false"
"4-29","あまごい","10","-","","5","-","0","変化","false","false"
"4-30","あやしいひかり","7","-","","10","100","0","変化","false","false"
"4-31","アロマミスト","17","-","","20","-","0","変化","false","false"
"4-32","アンコール","0","-","","5","100","0","変化","false","false"
"4-33","あんこくきょうだ","16","75","","5","100","0","物理","false","true"
"4-34","いあいぎり","0","50","","30","95","0","物理","false","true"
"4-35","いえき","3","-","","10","100","0","変化","false","false"
"4-36","イカサマ","16","95","","15","100","0","物理","false","true"
"4-37","いかりのこな","6","-","","20","-","2","変化","false","false"
"4-38","いかりのまえば","0","-","","10","90","0","物理","false","true"
"4-39","いじげんホール","13","80","","5","-","0","特殊","false","false"
"4-40","いじげんラッシュ","16","100","","5","-","0","物理","false","false"
"4-41","いたみわけ","0","-","","20","-","0","変化","false","false"
"4-42","いちゃもん","16","-","","15","100","0","変化","false","false"
"4-43","いっちょうあがり","15","80","","10","100","0","物理","false","false"
"4-44","いてつくしせん","13","90","","10","100","0","特殊","false","false"
"4-45","いとをはく","6","-","","40","95","0","変化","false","false"
"4-46","イナズマドライブ","12","100","","5","100","0","特殊","false","true"
"4-47","いにしえのうた","0","75","","10","100","0","特殊","false","false"
"4-48","いのちがけ","1","-","","5","100","0","特殊","false","false"
"4-49","いのちのしずく","10","-","","10","-","0","変化","false","false"
"4-50","いばる","0","-","","15","85","0","変化","false","false"
"4-51","いびき","0","50","","15","100","0","特殊","false","false"
"4-52","いやしのすず","0","-","","5","-","0","変化","false","false"
"4-53","いやしのねがい","13","-","","10","-","0","変化","false","false"
"4-54","いやしのはどう","13","-","","10","-","0","変化","false","false"
"4-55","いやなおと","0","-","","40","85","0","変化","false","false"
"4-56","いわおとし","5","50","","15","90","0","物理","false","false"
"4-57","いわくだき","1","40","","15","100","0","物理","false","true"
"4-58","いわなだれ","5","75","","10","90","0","物理","false","false"
"4-59","インファイト","1","120","","5","100","0","物理","false","true"
"4-60","ウェーブタックル","10","120","","10","100","0","物理","false","true"
"4-61","ウェザーボール","0","50","","10","100","0","特殊","false","false"
"4-62","うずしお","10","35","","15","85","0","特殊","false","false"
"4-63","うそなき","16","-","","20","100","0","変化","false","false"
"4-64","うたう","0","-","","15","55","0","変化","false","false"
"4-65","うちおとす","5","50","","15","100","0","物理","false","false"
"4-66","ウッドハンマー","11","120","","15","100","0","物理","false","true"
"4-67","ウッドホーン","11","75","","10","100","0","物理","false","true"
"4-68","うっぷんばらし","16","75","","5","100","0","物理","false","true"
"4-69","うつしえ","0","-","","10","100","0","変化","false","false"
"4-70","うらみ","7","-","","10","100","0","変化","false","false"
"4-71","うらみつらみ","7","75","","10","100","0","特殊","false","false"
"4-72","エアカッター","2","60","","25","95","0","特殊","false","false"
"4-73","エアスラッシュ","2","75","","15","95","0","特殊","false","false"
"4-74","エコーボイス","0","40","","15","100","0","特殊","false","false"
