"pokemonId","evolutionChainId","order"
"4-n1","4-n1","1"
"4-n1","4-n2","2"
"4-n1","4-n3","3"
"4-n10","4-n10","1"
"4-n10","4-n11","2"
"4-n10","4-n12","3"
"4-n100","4-n100","1"
"4-n100","4-n101","2"
"4-n1000","4-n1000","1"
"4-n1000","4-n1001","2"
"4-n1000","4-n1002","3"
"4-n1001","4-n1000","1"
"4-n1001","4-n1001","2"
"4-n1001","4-n1002","3"
"4-n1002","4-n1000","1"
"4-n1002","4-n1001","2"
"4-n1002","4-n1002","3"
"4-n1003","4-n1003","1"
"4-n1003","4-n1004","2"
"4-n1003","4-n1005","6"
"4-n1004","4-n1003","1"
"4-n1004","4-n1004","2"
"4-n1004","4-n1005","6"
"4-n1005","4-n1003","1"
"4-n1005","4-n1004","2"
"4-n1005","4-n1005","6"
"4-n1006","4-n1006","1"
"4-n1006","4-n1007","2"
"4-n1007","4-n1006","1"
"4-n1007","4-n1007","2"
"4-n1008","4-n624","1"
"4-n1008","4-n625","2"
"4-n1008","4-n1008","3"
"4-n1009","4-n194p","1"
"4-n1009","4-n1009","2"
"4-n100h","4-n100h","1"
"4-n100h","4-n101h","2"
"4-n101","4-n100","1"
"4-n101","4-n101","2"
"4-n1010","4-n56","1"
"4-n1010","4-n57","2"
"4-n1010","4-n1010","3"
"4-n101h","4-n100h","1"
"4-n101h","4-n101h","2"
"4-n102","4-n102","1"
"4-n102","4-n103","2"
"4-n102","4-n103a","5"
"4-n103","4-n102","1"
"4-n103","4-n103","2"
"4-n103","4-n103a","5"
"4-n103a","4-n102","1"
"4-n103a","4-n103","2"
"4-n103a","4-n103a","5"
"4-n104","4-n104","1"
"4-n104","4-n105","2"
"4-n104","4-n105a","4"
"4-n105","4-n104","1"
"4-n105","4-n105","2"
"4-n105","4-n105a","4"
"4-n105a","4-n104","1"
"4-n105a","4-n105","2"
"4-n105a","4-n105a","4"
"4-n106","4-n236","1"
"4-n106","4-n106","2"
"4-n106","4-n107","3"
"4-n106","4-n237","4"
"4-n107","4-n236","1"
"4-n107","4-n106","2"
"4-n107","4-n107","3"
"4-n107","4-n237","4"
"4-n108","4-n108","1"
"4-n108","4-n463","2"
"4-n109","4-n109","1"
"4-n109","4-n110","2"
"4-n109","4-n110g","3"
"4-n11","4-n10","1"
"4-n11","4-n11","2"
"4-n11","4-n12","3"
"4-n110","4-n109","1"
"4-n110","4-n110","2"
"4-n110","4-n110g","3"
"4-n110g","4-n109","1"
"4-n110g","4-n110","2"
"4-n110g","4-n110g","3"
"4-n111","4-n111","1"
"4-n111","4-n112","2"
"4-n111","4-n464","3"
"4-n112","4-n111","1"
"4-n112","4-n112","2"
"4-n112","4-n464","3"
"4-n113","4-n440","1"
"4-n113","4-n113","2"
"4-n113","4-n242","4"
"4-n114","4-n114","1"
"4-n114","4-n465","2"
"4-n115","4-n115","1"
"4-n115m","4-n115m","1"
"4-n116","4-n116","1"
"4-n116","4-n117","2"
"4-n116","4-n230","3"
