"pokemonId","localLanguageId","name","formName"
"4-n1-1","1","フシギダネ",""
"4-n1-2","2","Bulbasaur",""
"4-n10-1","1","キャタピー",""
"4-n10-2","2","Caterpie",""
"4-n100-1","1","ビリリダマ",""
"4-n100-2","2","Voltorb",""
"4-n1000-1","1","カヌチャン",""
"4-n1000-2","2","Tinkatink",""
"4-n1001-1","1","ナカヌチャン",""
"4-n1001-2","2","Tinkatuff",""
"4-n1002-1","1","デカヌチャン",""
"4-n1002-2","2","Tinkaton",""
"4-n1003-1","1","カルボウ",""
"4-n1003-2","2","Charcadet",""
"4-n1004-1","1","グレンアルマ",""
"4-n1004-2","2","Armarouge",""
"4-n1005-1","1","ソウブレイズ",""
"4-n1005-2","2","Ceruledge",""
"4-n1006-1","1","ノノクラゲ",""
"4-n1006-2","2","Toedscool",""
"4-n1007-1","1","リククラゲ",""
"4-n1007-2","2","Toedscruel",""
"4-n1008-1","1","ドドゲザン",""
"4-n1008-2","2","Kingambit",""
"4-n1009-1","1","ドオー",""
"4-n1009-2","2","Clodsire",""
"4-n100h-1","1","ビリリダマ",""
"4-n100h-2","2","Voltorb",""
"4-n101-1","1","マルマイン",""
"4-n101-2","2","Electrode",""
"4-n1010-1","1","コノヨザル",""
"4-n1010-2","2","Annihilape",""
"4-n101h-1","1","マルマイン",""
"4-n101h-2","2","Electrode",""
"4-n102-1","1","タマタマ",""
"4-n102-2","2","Exeggcute",""
"4-n103-1","1","ナッシー",""
"4-n103-2","2","Exeggutor",""
"4-n103a-1","1","ナッシー",""
"4-n103a-2","2","Exeggutor",""
"4-n104-1","1","カラカラ",""
"4-n104-2","2","Cubone",""
"4-n105-1","1","ガラガラ",""
"4-n105-2","2","Marowak",""
"4-n105a-1","1","ガラガラ",""
"4-n105a-2","2","Marowak",""
"4-n106-1","1","サワムラー",""
"4-n106-2","2","Hitmonlee",""
"4-n107-1","1","エビワラー",""
"4-n107-2","2","Hitmonchan",""
"4-n108-1","1","ベロリンガ",""
"4-n108-2","2","Lickitung",""
"4-n109-1","1","ドガース",""
"4-n109-2","2","Koffing",""
"4-n11-1","1","トランセル",""
"4-n11-2","2","Metapod",""
"4-n110-1","1","マタドガス",""
"4-n110-2","2","Weezing",""
"4-n110g-1","1","マタドガス",""
"4-n110g-2","2","Weezing",""
"4-n111-1","1","サイホーン",""
"4-n111-2","2","Rhyhorn",""
"4-n112-1","1","サイドン",""
"4-n112-2","2","Rhydon",""
"4-n113-1","1","ラッキー",""
"4-n113-2","2","Chansey",""
"4-n114-1","1","モンジャラ",""
