"pokemonId","hp","attack","defense","spAttack","spDefense","speed"
"4-n1","45","49","49","65","65","45"
"4-n10","45","30","35","20","20","45"
"4-n100","40","30","50","55","55","100"
"4-n1000","50","45","45","35","64","58"
"4-n1001","65","55","55","45","82","78"
"4-n1002","85","75","77","70","105","94"
"4-n1003","40","50","40","50","40","35"
"4-n1004","85","60","100","125","80","75"
"4-n1005","75","125","80","60","100","85"
"4-n1006","40","40","35","50","100","70"
"4-n1007","80","70","65","80","120","100"
"4-n1008","100","135","120","60","85","50"
"4-n1009","130","75","60","45","100","20"
"4-n100h","40","30","50","55","55","100"
"4-n101","60","50","70","80","80","150"
"4-n1010","110","115","80","50","90","90"
"4-n101h","60","50","70","80","80","150"
"4-n102","60","40","80","60","45","40"
"4-n103","95","95","85","125","75","55"
"4-n103a","95","105","85","125","75","45"
"4-n104","50","50","95","40","50","35"
"4-n105","60","80","110","50","80","45"
"4-n105a","60","80","110","50","80","45"
"4-n106","50","120","53","35","110","87"
"4-n107","50","105","79","35","110","76"
"4-n108","90","55","75","60","75","30"
"4-n109","40","65","95","60","45","35"
"4-n11","50","20","55","25","25","30"
"4-n110","65","90","120","85","70","60"
"4-n110g","65","90","120","85","70","60"
"4-n111","80","85","95","30","30","25"
"4-n112","105","130","120","45","45","40"
"4-n113","250","5","5","35","105","50"
"4-n114","65","55","115","100","40","60"
"4-n115","105","95","80","40","80","90"
"4-n115m","105","125","100","60","100","100"
"4-n116","30","40","70","70","25","60"
"4-n117","55","65","95","95","45","85"
"4-n118","45","67","60","35","50","63"
"4-n119","80","92","65","65","80","68"
"4-n12","60","45","50","90","80","70"
"4-n120","30","45","55","70","55","85"
"4-n121","60","75","85","100","85","115"
"4-n122","40","45","65","100","120","90"
"4-n122g","50","65","65","90","90","100"
"4-n123","70","110","80","55","80","105"
"4-n124","65","50","35","115","95","95"
"4-n125","65","83","57","95","85","105"
"4-n126","65","95","57","100","85","93"
"4-n127","65","125","100","55","70","85"
"4-n127m","65","155","120","65","90","105"
"4-n128","75","100","95","40","70","110"
"4-n128a","75","110","105","30","70","100"
"4-n128b","75","110","105","30","70","100"
"4-n128c","75","110","105","30","70","100"
"4-n129","20","10","55","15","20","80"
"4-n13","40","35","30","20","20","50"
"4-n130","95","125","79","60","100","81"
"4-n130m","95","155","109","70","130","81"
"4-n131","130","85","80","85","95","60"
"4-n132","48","48","48","48","48","48"
"4-n133","55","55","50","45","65","55"
"4-n134","130","65","60","110","95","65"
"4-n135","65","65","60","110","95","130"
"4-n136","65","130","60","95","110","65"
"4-n137","65","60","70","85","75","40"
"4-n138","35","40","100","90","55","35"
"4-n139","70","60","125","115","70","55"
"4-n14","45","25","50","25","25","35"
"4-n140","30","80","90","55","45","55"
"4-n141","60","115","105","65","70","80"
"4-n142","80","105","65","60","75","130"
"4-n142m","80","135","85","70","95","150"
"4-n143","160","110","65","65","110","30"
"4-n144","90","85","100","95","125","85"
"4-n144g","90","85","85","125","100","95"
"4-n145","90","90","85","125","90","100"
"4-n145g","90","125","90","85","90","100"
"4-n146","90","100","90","125","85","90"
"4-n146g","90","85","90","100","125","90"
"4-n147","41","64","45","50","50","50"
"4-n148","61","84","65","70","70","70"
"4-n149","91","134","95","100","100","80"
"4-n15","65","90","40","45","80","75"
"4-n150","106","110","90","154","90","130"
"4-n150x","106","190","100","154","100","130"
"4-n150y","106","150","70","194","120","140"
"4-n151","100","100","100","100","100","100"
"4-n152","45","49","65","49","65","45"
"4-n153","60","62","80","63","80","60"
"4-n154","80","82","100","83","100","80"
"4-n155","39","52","43","60","50","65"
"4-n156","58","64","58","80","65","80"
"4-n157","78","84","78","109","85","100"
"4-n157h","73","84","78","119","85","95"
"4-n158","50","65","64","44","48","43"
"4-n159","65","80","80","59","63","58"
"4-n15m","65","150","40","15","80","145"
"4-n16","40","45","40","35","35","56"
"4-n160","85","105","100","79","83","78"
"4-n161","35","46","34","35","45","20"
"4-n162","85","76","64","45","55","90"
"4-n163","60","30","30","36","56","50"
"4-n164","100","50","50","86","96","70"
"4-n165","40","20","30","40","80","55"
"4-n166","55","35","50","55","110","85"
"4-n167","40","60","40","40","40","30"
"4-n168","70","90","70","60","70","40"
"4-n169","85","90","80","70","80","130"
"4-n17","63","60","55","50","50","71"
"4-n170","75","38","38","56","56","67"
"4-n171","125","58","58","76","76","67"
"4-n172","20","40","15","35","35","60"
"4-n173","50","25","28","45","55","15"
"4-n174","90","30","15","40","20","15"
"4-n175","35","20","65","40","65","20"
"4-n176","55","40","85","80","105","40"
"4-n177","40","50","45","70","45","70"
