"pokemonId","typeId"
"4-n1","11"
"4-n1","3"
"4-n10","6"
"4-n100","12"
"4-n1000","17"
"4-n1000","8"
"4-n1001","17"
"4-n1001","8"
"4-n1002","17"
"4-n1002","8"
"4-n1003","9"
"4-n1004","9"
"4-n1004","13"
"4-n1005","9"
"4-n1005","7"
"4-n1006","4"
"4-n1006","11"
"4-n1007","4"
"4-n1007","11"
"4-n1008","16"
"4-n1008","8"
"4-n1009","3"
"4-n1009","4"
"4-n100h","12"
"4-n100h","11"
"4-n101","12"
"4-n1010","1"
"4-n1010","7"
"4-n101h","12"
"4-n101h","11"
"4-n102","11"
"4-n102","13"
"4-n103","11"
"4-n103","13"
"4-n103a","11"
"4-n103a","15"
"4-n104","4"
"4-n105","4"
"4-n105a","9"
"4-n105a","7"
"4-n106","1"
"4-n107","1"
"4-n108","0"
"4-n109","3"
"4-n11","6"
"4-n110","3"
"4-n110g","3"
"4-n110g","17"
"4-n111","4"
"4-n111","5"
"4-n112","4"
"4-n112","5"
"4-n113","0"
"4-n114","11"
"4-n115","0"
"4-n115m","0"
"4-n116","10"
"4-n117","10"
"4-n118","10"
"4-n119","10"
"4-n12","6"
"4-n12","2"
"4-n120","10"
"4-n121","10"
"4-n121","13"
"4-n122","13"
"4-n122","17"
"4-n122g","14"
"4-n122g","13"
"4-n123","6"
"4-n123","2"
"4-n124","14"
"4-n124","13"
"4-n125","12"
"4-n126","9"
"4-n127","6"
"4-n127m","6"
"4-n127m","2"
"4-n128","0"
"4-n128a","1"
"4-n128b","1"
"4-n128b","9"
"4-n128c","1"
"4-n128c","10"
"4-n129","10"
"4-n13","6"
"4-n13","3"
"4-n130","10"
"4-n130","2"
"4-n130m","10"
"4-n130m","16"
"4-n131","10"
"4-n131","14"
"4-n132","0"
"4-n133","0"
"4-n134","10"
"4-n135","12"
"4-n136","9"
"4-n137","0"
"4-n138","5"
"4-n138","10"
"4-n139","5"
"4-n139","10"
"4-n14","6"
"4-n14","3"
"4-n140","5"
"4-n140","10"
"4-n141","5"
"4-n141","10"
"4-n142","5"
"4-n142","2"
"4-n142m","5"
"4-n142m","2"
"4-n143","0"
"4-n144","14"
"4-n144","2"
"4-n144g","13"
"4-n144g","2"
"4-n145","12"
"4-n145","2"
"4-n145g","1"
"4-n145g","2"
"4-n146","9"
"4-n146","2"
"4-n146g","16"
"4-n146g","2"
"4-n147","15"
"4-n148","15"
"4-n149","15"
"4-n149","2"
"4-n15","6"
"4-n15","3"
"4-n150","13"
"4-n150x","13"
"4-n150x","1"
"4-n150y","13"
"4-n151","13"
"4-n152","11"
"4-n153","11"
"4-n154","11"
"4-n155","9"
"4-n156","9"
"4-n157","9"
"4-n157h","9"
"4-n157h","7"
"4-n158","10"
"4-n159","10"
"4-n15m","6"
"4-n15m","3"
"4-n16","0"
"4-n16","2"
"4-n160","10"
"4-n161","0"
"4-n162","0"
"4-n163","0"
"4-n163","2"
"4-n164","0"
"4-n164","2"
"4-n165","6"
"4-n165","2"
"4-n166","6"
"4-n166","2"
"4-n167","6"
"4-n167","3"
"4-n168","6"
"4-n168","3"
"4-n169","3"
"4-n169","2"
"4-n17","0"
"4-n17","2"
"4-n170","10"
"4-n170","12"
"4-n171","10"
"4-n171","12"
"4-n172","12"
"4-n173","17"
"4-n174","0"
"4-n174","17"
"4-n175","17"
"4-n176","17"
"4-n176","2"
"4-n177","13"
"4-n177","2"
"4-n178","13"
"4-n178","2"
"4-n179","12"
"4-n18","0"
"4-n18","2"
"4-n180","12"
"4-n181","12"
"4-n181m","12"
"4-n181m","15"
"4-n182","11"
"4-n183","10"
"4-n183","17"
"4-n184","10"
"4-n184","17"
"4-n185","5"
"4-n186","10"
"4-n187","11"
"4-n187","2"
"4-n188","11"
"4-n188","2"
"4-n189","11"
"4-n189","2"
"4-n18m","0"
"4-n18m","2"
"4-n19","0"
"4-n190","0"
"4-n191","11"
"4-n192","11"
"4-n193","6"
"4-n193","2"
"4-n194","10"
"4-n194","4"
"4-n194p","3"
"4-n194p","4"
"4-n195","10"
"4-n195","4"
"4-n196","13"
"4-n197","16"
"4-n198","16"
"4-n198","2"
"4-n199","10"
"4-n199","13"
"4-n199g","3"
"4-n199g","13"
"4-n19a","16"
"4-n19a","0"
"4-n2","11"
"4-n2","3"
"4-n20","0"
"4-n200","7"
"4-n201","13"
"4-n202","13"
"4-n203","0"
"4-n203","13"
"4-n204","6"
"4-n205","6"
"4-n205","8"
"4-n206","0"
"4-n207","4"
"4-n207","2"
"4-n208","8"
"4-n208","4"
"4-n208m","8"
"4-n208m","4"
"4-n209","17"
"4-n20a","16"
"4-n20a","0"
"4-n21","0"
"4-n21","2"
"4-n210","17"
"4-n211","10"
"4-n211","3"
"4-n211h","16"
"4-n211h","3"
"4-n212","6"
"4-n212","8"
"4-n212m","6"
"4-n212m","8"
"4-n213","6"
"4-n213","5"
"4-n214","6"
"4-n214","1"
"4-n214m","6"
"4-n214m","1"
"4-n215","16"
"4-n215","14"
"4-n215h","1"
"4-n215h","3"
"4-n216","0"
"4-n217","0"
"4-n218","9"
"4-n219","9"
"4-n219","5"
"4-n22","0"
"4-n22","2"
"4-n220","14"
"4-n220","4"
"4-n221","14"
"4-n221","4"
"4-n222","10"
"4-n222","5"
"4-n222g","7"
"4-n223","10"
"4-n224","10"
"4-n225","14"
"4-n225","2"
"4-n226","10"
"4-n226","2"
"4-n227","8"
"4-n227","2"
"4-n228","16"
"4-n228","9"
"4-n229","16"
"4-n229","9"
"4-n229m","16"
"4-n229m","9"
"4-n23","3"
"4-n230","10"
"4-n230","15"
"4-n231","4"
"4-n232","4"
"4-n233","0"
"4-n234","0"
"4-n235","0"
"4-n236","1"
"4-n237","1"
"4-n238","14"
"4-n238","13"
"4-n239","12"
"4-n24","3"
"4-n240","9"
"4-n241","0"
"4-n242","0"
"4-n243","12"
"4-n244","9"
"4-n245","10"
"4-n246","5"
"4-n246","4"
"4-n247","5"
"4-n247","4"
"4-n248","5"
"4-n248","16"
"4-n248m","5"
"4-n248m","16"
"4-n249","13"
"4-n249","2"
