"id","no","height","weight","order","isDefault"
"4-n1","001","0.7","6.9","1","true"
"4-n10","010","0.3","2.9","1","true"
"4-n100","100","0.5","10.4","1","true"
"4-n1000","957","0.4","8.9","1","true"
"4-n1001","958","0.7","59.1","1","true"
"4-n1002","959","0.7","112.8","1","true"
"4-n1003","935","0.6","10.5","1","true"
"4-n1004","936","1.5","85.0","1","true"
"4-n1005","937","1.6","62.0","1","true"
"4-n1006","948","0.9","33.0","1","true"
"4-n1007","949","1.9","58.0","1","true"
"4-n1008","983","2.0","120.0","1","true"
"4-n1009","980","1.8","223.0","1","true"
"4-n100h","100","0.5","13.0","1","true"
"4-n101","101","1.2","66.6","1","true"
"4-n1010","979","1.2","56.0","1","true"
"4-n101h","101","1.2","71.0","1","true"
"4-n102","102","0.4","2.5","1","true"
"4-n103","103","2.0","120.0","1","true"
"4-n103a","103","10.9","415.6","1","true"
"4-n104","104","0.4","6.5","1","true"
"4-n105","105","1.0","45.0","1","true"
"4-n105a","105","1.0","34.0","1","true"
"4-n106","106","1.5","49.8","1","true"
"4-n107","107","1.4","50.2","1","true"
"4-n108","108","1.2","65.5","1","true"
"4-n109","109","0.6","1.0","1","true"
"4-n11","011","0.7","9.9","1","true"
"4-n110","110","1.2","9.5","1","true"
"4-n110g","110","3.0","16.0","1","true"
"4-n111","111","1.0","115.0","1","true"
"4-n112","112","1.9","120.0","1","true"
"4-n113","113","1.1","34.6","1","true"
"4-n114","114","1.0","35.0","1","true"
"4-n115","115","2.2","80.0","1","true"
"4-n115m","115","2.2","100.0","1","true"
"4-n116","116","0.4","8.0","1","true"
"4-n117","117","1.2","25.0","1","true"
"4-n118","118","0.6","15.0","1","true"
"4-n119","119","1.3","39.0","1","true"
"4-n12","012","1.1","32.0","1","true"
"4-n120","120","0.8","34.5","1","true"
"4-n121","121","1.1","80.0","1","true"
"4-n122","122","1.3","54.5","1","true"
"4-n122g","122","1.4","56.8","1","true"
"4-n123","123","1.5","56.0","1","true"
"4-n124","124","1.4","40.6","1","true"
"4-n125","125","1.1","30.0","1","true"
"4-n126","126","1.3","44.5","1","true"
"4-n127","127","1.5","55.0","1","true"
"4-n127m","127","1.7","59.0","1","true"
"4-n128","128","1.4","88.4","1","true"
"4-n128a","128","1.4","115.0","1","true"
"4-n128b","128","1.4","85.0","1","true"
"4-n128c","128","1.4","110.0","1","true"
"4-n129","129","0.9","10.0","1","true"
"4-n13","013","0.3","3.2","1","true"
"4-n130","130","6.5","235.0","1","true"
"4-n130m","130","6.5","305.0","1","true"
"4-n131","131","2.5","220.0","1","true"
"4-n132","132","0.3","4.0","1","true"
"4-n133","133","0.3","6.5","1","true"
"4-n134","134","1.0","29.0","1","true"
"4-n135","135","0.8","24.5","1","true"
"4-n136","136","0.9","25.0","1","true"
"4-n137","137","0.8","36.5","1","true"
"4-n138","138","0.4","7.5","1","true"
"4-n139","139","1.0","35.0","1","true"
"4-n14","014","0.6","10.0","1","true"
"4-n140","140","0.5","11.5","1","true"
"4-n141","141","1.3","40.5","1","true"
"4-n142","142","1.8","59.0","1","true"
"4-n142m","142","2.1","79.0","1","true"
"4-n143","143","2.1","460.0","1","true"
"4-n144","144","1.7","55.4","1","true"
"4-n144g","144","1.7","50.9","1","true"
"4-n145","145","1.6","52.6","1","true"
"4-n145g","145","1.6","58.2","1","true"
"4-n146","146","2.0","60.0","1","true"
