"pokemonId","typeId"
"n1","11"
"n1","3"
"n2","11"
"n2","3"
"n3","11"
"n3","3"
"n3m","11"
"n3m","3"
"n4","9"
"n5","9"
"n6","9"
"n6","2"
"n6x","9"
"n6x","15"
"n6y","9"
"n6y","2"
"n7","10"
"n8","10"
"n9","10"
"n9m","10"
"n10","6"
"n11","6"
"n12","6"
"n12","2"
"n13","6"
"n13","3"
"n14","6"
"n14","3"
"n15","6"
"n15","3"
"n15m","6"
"n15m","3"
"n16","0"
"n16","2"
"n17","0"
"n17","2"
"n18","0"
"n18","2"
"n18m","0"
"n18m","2"
"n19","0"
"n19a","16"
"n19a","0"
"n20","0"
"n20a","16"
"n20a","0"
"n21","0"
"n21","2"
"n22","0"
"n22","2"
"n23","3"
"n24","3"
"n25","12"
"n25b","12"
"n26","12"
"n26a","12"
"n26a","13"
"n27","4"
"n27a","14"
"n27a","8"
"n28","4"
"n28a","14"
"n28a","8"
"n29","3"
"n30","3"
"n31","3"
"n31","4"
"n32","3"
"n33","3"
"n34","3"
"n34","4"
"n35","17"
"n36","17"
"n37","9"
"n37a","14"
"n38","9"
"n38a","14"
"n38a","17"
"n39","0"
"n39","17"
"n40","0"
"n40","17"
"n41","3"
"n41","2"
"n42","3"
"n42","2"
"n43","11"
"n43","3"
"n44","11"
"n44","3"
"n45","11"
"n45","3"
"n46","6"
"n46","11"
"n47","6"
"n47","11"
"n48","6"
"n48","3"
"n49","6"
"n49","3"
"n50","4"
"n50a","4"
"n50a","8"
"n51","4"
"n51a","4"
"n51a","8"
"n52","0"
"n52a","16"
"n53","0"
"n53a","16"
"n54","10"
"n55","10"
"n56","1"
"n57","1"
"n58","9"
"n59","9"
"n60","10"
"n61","10"
"n62","10"
"n62","1"
"n63","13"
"n64","13"
"n65","13"
"n65m","13"
"n66","1"
"n67","1"
"n68","1"
"n69","11"
"n69","3"
"n70","11"
"n70","3"
"n71","11"
"n71","3"
"n72","10"
"n72","3"
"n73","10"
"n73","3"
"n74","5"
"n74","4"
"n74a","5"
"n74a","12"
"n75","5"
"n75","4"
"n75a","5"
"n75a","12"
"n76","5"
"n76","4"
"n76a","5"
"n76a","12"
"n77","9"
"n78","9"
"n79","10"
"n79","13"
"n80","10"
"n80","13"
"n80m","10"
"n80m","13"
"n81","12"
"n81","8"
"n82","12"
"n82","8"
"n83","0"
"n83","2"
"n84","0"
"n84","2"
"n85","0"
"n85","2"
"n86","10"
"n87","10"
"n87","14"
"n88","3"
"n88a","3"
"n88a","16"
"n89","3"
"n89a","3"
"n89a","16"
"n90","10"
"n91","10"
"n91","14"
"n92","7"
"n92","3"
"n93","7"
"n93","3"
"n94","7"
"n94","3"
"n94m","7"
"n94m","3"
"n95","5"
"n95","4"
"n96","13"
"n97","13"
"n98","10"
"n99","10"
"n100","12"
"n101","12"
"n102","11"
"n102","13"
"n103","11"
"n103","13"
"n103a","11"
"n103a","15"
"n104","4"
"n105","4"
"n105a","9"
"n105a","7"
"n106","1"
"n107","1"
"n108","0"
"n109","3"
"n110","3"
"n111","4"
"n111","5"
"n112","4"
"n112","5"
"n113","0"
"n114","11"
"n115","0"
"n115m","0"
"n116","10"
"n117","10"
"n118","10"
"n119","10"
"n120","10"
"n121","10"
"n121","13"
"n122","13"
"n122","17"
"n123","6"
"n123","2"
"n124","14"
"n124","13"
"n125","12"
"n126","9"
"n127","6"
"n127m","6"
"n127m","2"
"n128","0"
"n129","10"
"n130","10"
"n130","2"
"n130m","10"
"n130m","16"
"n131","10"
"n131","14"
"n132","0"
"n133","0"
"n133b","0"
"n134","10"
"n135","12"
"n136","9"
"n137","0"
"n138","5"
"n138","10"
"n139","5"
"n139","10"
"n140","5"
"n140","10"
"n141","5"
"n141","10"
"n142","5"
"n142","2"
"n142m","5"
"n142m","2"
"n143","0"
"n144","14"
"n144","2"
"n145","12"
"n145","2"
"n146","9"
"n146","2"
"n147","15"
"n148","15"
"n149","15"
"n149","2"
"n150","13"
"n150x","13"
"n150x","1"
"n150y","13"
"n151","13"
