"pokemonId","abilityName","isHidden"
"n1","しんりょく","false"
"n2","しんりょく","false"
"n3","しんりょく","false"
"n3m","あついしぼう","false"
"n4","もうか","false"
"n5","もうか","false"
"n6","もうか","false"
"n6x","かたいツメ","false"
"n6y","ひでり","false"
"n7","げきりゅう","false"
"n8","げきりゅう","false"
"n9","げきりゅう","false"
"n9m","メガランチャー","false"
"n10","りんぷん","false"
"n11","だっぴ","false"
"n12","ふくがん","false"
"n13","りんぷん","false"
"n14","だっぴ","false"
"n15","むしのしらせ","false"
"n15m","てきおうりょく","false"
"n16","するどいめ","false"
"n16","ちどりあし","false"
"n17","するどいめ","false"
"n17","ちどりあし","false"
"n18","するどいめ","false"
"n18","ちどりあし","false"
"n18m","ノーガード","false"
"n19","にげあし","false"
"n19","こんじょう","false"
"n19a","くいしんぼう","false"
"n19a","はりきり","false"
"n20","にげあし","false"
"n20","こんじょう","false"
"n20a","くいしんぼう","false"
"n20a","はりきり","false"
"n21","するどいめ","false"
"n22","するどいめ","false"
"n23","いかく","false"
"n23","だっぴ","false"
"n24","いかく","false"
"n24","だっぴ","false"
"n25","せいでんき","false"
"n26","せいでんき","false"
"n26a","サーフテール","false"
"n27","すながくれ","false"
"n27a","ゆきがくれ","false"
"n28","すながくれ","false"
"n28a","ゆきがくれ","false"
"n29","どくのトゲ","false"
"n29","とうそうしん","false"
"n30","どくのトゲ","false"
"n30","とうそうしん","false"
"n31","どくのトゲ","false"
"n31","とうそうしん","false"
"n32","どくのトゲ","false"
"n32","とうそうしん","false"
"n33","どくのトゲ","false"
"n33","とうそうしん","false"
"n34","どくのトゲ","false"
"n34","とうそうしん","false"
"n35","メロメロボディ","false"
"n35","マジックガード","false"
"n36","メロメロボディ","false"
"n36","マジックガード","false"
"n37","もらいび","false"
"n37a","ゆきがくれ","false"
"n38","もらいび","false"
"n38a","ゆきがくれ","false"
"n39","メロメロボディ","false"
"n39","かちき","false"
"n40","メロメロボディ","false"
"n40","かちき","false"
"n41","せいしんりょく","false"
"n42","せいしんりょく","false"
"n43","ようりょくそ","false"
"n44","ようりょくそ","false"
"n45","ようりょくそ","false"
"n46","ほうし","false"
"n46","かんそうはだ","false"
"n47","ほうし","false"
"n47","かんそうはだ","false"
"n48","ふくがん","false"
"n48","いろめがね","false"
"n49","りんぷん","false"
"n49","いろめがね","false"
"n50","すながくれ","false"
"n50","ありじごく","false"
"n50a","すながくれ","false"
"n50a","カーリーヘアー","false"
"n51","すながくれ","false"
"n51","ありじごく","false"
"n51a","すながくれ","false"
"n51a","カーリーヘアー","false"
"n52","ものひろい","false"
"n52","テクニシャン","false"
"n52a","ものひろい","false"
"n52a","テクニシャン","false"
"n53","じゅうなん","false"
"n53","テクニシャン","false"
"n53a","ファーコート","false"
"n53a","テクニシャン","false"
"n54","しめりけ","false"
"n54","ノーてんき","false"
"n55","しめりけ","false"
"n55","ノーてんき","false"
"n56","やるき","false"
"n56","いかりのつぼ","false"
"n57","やるき","false"
"n57","いかりのつぼ","false"
"n58","いかく","false"
"n58","もらいび","false"
"n59","いかく","false"
"n59","もらいび","false"
"n60","ちょすい","false"
"n60","しめりけ","false"
"n61","ちょすい","false"
"n61","しめりけ","false"
"n62","ちょすい","false"
"n62","しめりけ","false"
"n63","シンクロ","false"
"n63","せいしんりょく","false"
"n64","シンクロ","false"
"n64","せいしんりょく","false"
"n65","シンクロ","false"
"n65","せいしんりょく","false"
"n65m","トレース","false"
"n66","こんじょう","false"
"n66","ノーガード","false"
"n67","こんじょう","false"
"n67","ノーガード","false"
"n68","こんじょう","false"
"n68","ノーガード","false"
"n69","ようりょくそ","false"
"n70","ようりょくそ","false"
"n71","ようりょくそ","false"
"n72","クリアボディ","false"
"n72","ヘドロえき","false"
"n73","クリアボディ","false"
"n73","ヘドロえき","false"
"n74","いしあたま","false"
"n74","がんじょう","false"
"n74a","じりょく","false"
"n74a","がんじょう","false"
"n75","いしあたま","false"
"n75","がんじょう","false"
"n75a","じりょく","false"
"n75a","がんじょう","false"
"n76","いしあたま","false"
"n76","がんじょう","false"
"n76a","じりょく","false"
"n76a","がんじょう","false"
"n77","にげあし","false"
"n77","もらいび","false"
"n78","にげあし","false"
"n78","もらいび","false"
"n79","どんかん","false"
"n79","マイペース","false"
"n80","どんかん","false"
"n80","マイペース","false"
"n80m","シェルアーマー","false"
"n81","じりょく","false"
"n81","がんじょう","false"
"n82","じりょく","false"
"n82","がんじょう","false"
"n83","するどいめ","false"
"n83","せいしんりょく","false"
