"id","no","height","weight","order","isDefault"
"n1","001","7","69","1","true"
"n2","002","10","130","2","true"
"n3","003","20","1000","3","true"
"n3m","003","24","1555","3","false"
"n4","004","6","85","4","true"
"n5","005","11","190","5","true"
"n6","006","17","905","6","true"
"n6x","006","17","1105","6","false"
"n6y","006","17","1005","6","false"
"n7","007","5","90","7","true"
"n8","008","10","225","8","true"
"n9","009","16","855","9","true"
"n9m","009","16","1011","9","false"
"n10","010","170","170","10","true"
"n11","011","180","180","11","true"
"n12","012","190","190","12","true"
"n13","013","3","32","13","true"
"n14","014","6","100","14","true"
"n15","015","10","295","15","true"
"n15m","015","14","405","15","false"
"n16","016","3","18","16","true"
"n17","017","11","300","17","true"
"n18","018","15","395","18","true"
"n18m","018","22","505","18","false"
"n19","019","3","35","19","true"
"n19a","019","150","150","19","false"
"n20","020","7","185","20","true"
"n20a","020","160","160","20","false"
"n21","021","870","730","21","true"
"n22","022","880","740","22","true"
"n23","023","610","20","23","true"
"n24","024","620","35","24","true"
"n25","025","320","250","25","true"
"n26","026","8","300","26","true"
"n26a","026","330","260","26","false"
"n27","027","6","120","27","true"
"n27a","027","3280","2510","27","false"
"n28","028","10","295","28","true"
"n28a","028","3290","2520","28","false"
"n29","029","4","70","29","true"
"n30","030","8","200","30","true"
"n31","031","13","600","31","true"
"n32","032","5","90","32","true"
"n33","033","9","195","33","true"
"n34","034","14","620","34","true"
"n35","035","2730","2110","35","true"
"n36","036","2740","2120","36","true"
"n37","037","6","99","37","true"
"n37a","037","3300","2530","37","false"
"n38","038","11","199","38","true"
"n38a","038","3310","2540","38","false"
"n39","039","1680","1350","39","true"
"n40","040","1690","1360","40","true"
"n41","041","800","680","41","true"
"n42","042","810","690","42","true"
"n43","043","5","54","43","true"
"n44","044","8","86","44","true"
"n45","045","12","186","45","true"
"n46","046","1800","1470","46","true"
"n47","047","1810","1480","47","true"
"n48","048","10","300","48","true"
"n49","049","15","125","49","true"
"n50","050","2","8","50","true"
"n50a","050","850","710","50","false"
"n51","051","7","333","51","true"
"n51a","051","860","720","51","false"
"n52","052","4","42","52","true"
"n52a","052","520","450","52","false"
"n53","053","10","320","53","true"
"n53a","053","530","460","53","false"
"n54","054","1070","890","54","true"
"n55","055","1080","900","55","true"
"n56","056","930","790","56","true"
"n57","057","940","800","57","true"
"n58","058","640","520","58","true"
"n59","059","650","530","59","true"
"n60","060","1820","1490","60","true"
"n61","061","1830","1500","61","true"
"n62","062","1840","1510","62","true"
"n63","063","490","420","63","true"
"n64","064","500","430","64","true"
"n65","065","510","440","65","true"
"n65m","065","510","440","65","false"
"n66","066","1170","950","66","true"
"n67","067","1180","960","67","true"
"n68","068","1190","970","68","true"
"n69","069","7","40","69","true"
"n70","070","10","64","70","true"
"n71","071","17","155","71","true"
"n72","072","1290","1060","72","true"
"n73","073","1300","1070","73","true"
"n74","074","4","200","74","true"
"n74a","074","2980","2290","74","false"
"n75","075","10","1050","75","true"
"n75a","075","2990","2300","75","false"
"n76","076","14","3000","76","true"
"n76a","076","3000","2310","76","false"
"n77","077","10","300","77","true"
"n78","078","17","950","78","true"
"n79","079","440","370","79","true"
"n80","080","450","380","80","true"
"n80m","080","450","380","80","false"
"n81","081","540","470","81","true"
"n82","082","550","480","82","true"
"n83","083","8","150","83","true"
"n84","084","14","392","84","true"
"n85","085","18","852","85","true"
"n86","086","1150","11","86","true"
"n87","087","1160","17","87","true"
"n88","088","9","300","88","true"
