"id","name","type","power1","power2","pp","accuracy","priority","damageType","isDirect","canProtect"
"1","Gのちから","11","80","130","10","100","0","物理","false","true"
"2","アームハンマー","1","100","90","10","90","0","物理","true","true"
"3","アイアンテール","8","100","130","15","75","0","物理","true","true"
"4","アイアンヘッド","8","80","130","15","100","0","物理","true","true"
"5","あおいほのお","9","130","140","5","85","0","特殊","false","true"
"6","アクアジェット","10","40","90","20","100","1","物理","true","true"
"7","アクアテール","10","90","130","10","90","0","物理","true","true"
"8","アクアブレイク","10","85","130","10","100","0","物理","true","true"
"9","アクアリング","10","-","-","20","-","0","変化","false","false"
"10","アクセルロック","5","40","90","20","100","1","物理","true","true"
"11","あくのはどう","16","80","130","15","100","0","特殊","false","true"
"12","あくび","0","-","-","10","-","0","変化","false","true"
"13","アクロバット","2","55","110","15","100","0","物理","true","true"
"14","あさのひざし","0","-","-","5","-","0","変化","false","false"
"15","アシストギア","8","-","-","20","-","0","変化","false","false"
"16","アシストパワー","13","20","130","10","100","0","特殊","false","true"
"17","アシッドボム","3","40","70","20","100","0","特殊","false","true"
"18","あてみなげ","1","70","85","10","-","-1","物理","true","true"
"19","あなをほる","4","80","130","10","100","0","物理","true","true"
"20","あばれる","0","120","140","10","100","0","物理","true","true"
"21","あまいかおり","0","-","-","20","100","0","変化","false","true"
"22","あまえる","17","-","-","20","100","0","変化","false","true"
"23","あまごい","10","-","-","5","-","0","変化","false","false"
"24","あやしいひかり","7","-","-","10","100","0","変化","false","true"
"25","あられ","14","-","-","10","-","0","変化","false","false"
"26","アロマセラピー","11","-","-","5","-","0","変化","false","false"
"27","アロマミスト","17","-","-","20","-","0","変化","false","false"
"28","アンカーショット","8","80","130","20","100","0","物理","true","true"
"29","アンコール","0","-","-","5","100","0","変化","false","true"
"30","いあいぎり","0","50","100","30","95","0","物理","true","true"
"31","いえき","3","-","-","10","100","0","変化","false","true"
"32","イカサマ","16","95","130","15","100","0","物理","true","true"
"33","いかりのこな","6","-","-","20","-","2","変化","false","false"
"34","いかりのまえば","0","-","100","10","90","0","物理","true","true"
"35","いたみわけ","0","-","-","20","-","0","変化","false","true"
"36","いちゃもん","16","-","-","15","100","0","変化","false","true"
"37","いとをはく","6","-","-","40","95","0","変化","false","true"
"38","いのちがけ","1","-","100","5","100","0","特殊","false","true"
"39","いのちのしずく","10","-","-","10","-","0","変化","false","false"
"40","いばる","0","-","-","15","85","0","変化","false","true"
"41","いびき","0","50","100","15","100","0","特殊","false","true"
"42","いやしのすず","0","-","-","5","-","0","変化","false","false"
"43","いやしのねがい","13","-","-","10","-","0","変化","false","false"
"44","いやしのはどう","13","-","-","10","-","0","変化","false","true"
"45","いやなおと","0","-","-","40","85","0","変化","false","true"
"46","いわおとし","5","50","100","15","90","0","物理","false","true"
"47","いわくだき","1","40","70","15","100","0","物理","true","true"
"48","いわなだれ","5","75","130","10","90","0","物理","false","true"
"49","インファイト","1","120","95","5","100","0","物理","true","true"
"50","ウェザーボール","0","50","130","10","100","0","特殊","false","true"
"51","うずしお","10","35","90","15","85","0","特殊","false","true"
"52","うそなき","16","-","-","20","100","0","変化","false","true"
"53","うたう","0","-","-","15","55","0","変化","false","true"
"54","うたかたのアリア","10","90","130","10","100","0","特殊","false","true"
"55","うちおとす","5","50","100","15","100","0","物理","false","true"
"56","ウッドハンマー","11","120","140","15","100","0","物理","true","true"
"57","ウッドホーン","11","75","130","10","100","0","物理","true","true"
"58","うらみ","7","-","-","10","100","0","変化","false","true"
"59","エアカッター","2","60","110","25","95","0","特殊","false","true"
"60","エアスラッシュ","2","75","130","15","95","0","特殊","false","true"
"61","エコーボイス","0","40","90","15","100","0","特殊","false","true"
"62","えだづき","11","40","90","40","100","0","物理","true","true"
"63","エナジーボール","11","90","130","10","100","0","特殊","false","true"
"64","エラがみ","10","85","130","10","100","0","物理","true","true"
"65","エレキネット","12","55","110","15","95","0","特殊","false","true"
"66","エレキフィールド","12","-","-","10","-","0","変化","false","false"
"67","エレキボール","12","-","130","10","100","0","特殊","false","true"
"68","えんまく","0","-","-","20","100","0","変化","false","true"
"69","オーバードライブ","12","80","130","10","100","0","特殊","false","true"
"70","オーバーヒート","9","130","140","5","90","0","特殊","false","true"
"71","オーラぐるま","12","110","140","10","100","0","物理","false","true"
"72","オーロラビーム","14","65","120","20","100","0","特殊","false","true"
"73","オーロラベール","14","-","-","20","-","0","変化","false","false"
"74","おいかぜ","2","-","-","15","-","0","変化","false","false"
"75","おいわい","0","-","-","40","-","0","変化","false","false"
"76","おきみやげ","16","-","-","10","100","0","変化","false","true"
"77","オクタンほう","10","65","120","10","85","0","特殊","false","true"
"78","おさきにどうぞ","0","-","-","15","-","0","変化","false","false"
"79","おたけび","0","-","-","30","100","0","変化","false","true"
"80","おだてる","16","-","-","15","100","0","変化","false","true"
"81","おちゃかい","0","-","-","10","-","0","変化","false","false"
"82","おどろかす","7","30","90","15","100","0","物理","true","true"
"83","おにび","9","-","-","15","85","0","変化","false","true"
"84","おんねん","7","-","-","5","-","0","変化","false","false"
"85","かいでんぱ","12","-","-","15","100","0","変化","false","true"
"86","かいりき","0","80","130","15","100","0","物理","true","true"
"87","カウンター","1","-","75","20","100","-5","物理","true","true"
"88","かえんぐるま","9","60","110","25","100","0","物理","true","true"
"89","かえんほうしゃ","9","90","130","15","100","0","特殊","false","true"
"90","かえんボール","9","120","140","5","90","0","物理","false","true"
"91","かげうち","7","40","90","30","100","1","物理","true","true"
"92","かげぬい","7","80","130","10","100","0","物理","false","true"
"93","かげぶんしん","0","-","-","15","-","0","変化","false","false"
"94","かぜおこし","2","40","90","35","100","0","特殊","false","true"
"95","かたきうち","0","70","120","5","100","0","物理","true","true"
"96","かたくなる","0","-","-","30","-","0","変化","false","false"
"97","かなしばり","0","-","-","20","100","0","変化","false","true"
"98","かふんだんご","6","90","130","15","100","0","特殊","false","true"
"99","かみくだく","16","80","130","15","100","0","物理","true","true"
"100","かみつく","16","60","110","25","100","0","物理","true","true"
"101","かみなり","12","110","140","10","70","0","特殊","false","true"
"102","かみなりのキバ","12","65","120","15","95","0","物理","true","true"
"103","かみなりパンチ","12","75","130","15","100","0","物理","true","true"
"104","からげんき","0","70","120","20","100","0","物理","true","true"
"105","からにこもる","10","-","-","40","-","0","変化","false","false"
"106","からをやぶる","0","-","-","15","-","0","変化","false","false"
"107","かわらわり","1","75","90","15","100","0","物理","true","true"
"108","ガードシェア","13","-","-","10","-","0","変化","false","true"
"109","ガードスワップ","13","-","-","10","-","0","変化","false","true"
"110","がむしゃら","0","-","130","5","100","0","物理","true","true"
"111","がんせきふうじ","5","60","110","15","95","0","物理","false","true"
"112","がんせきほう","5","150","150","5","90","0","物理","false","true"
"113","きあいだま","1","120","95","5","70","0","特殊","false","true"
"114","きあいだめ","0","-","-","30","-","0","変化","false","false"
"115","きあいパンチ","1","150","100","20","100","-3","物理","true","true"
"116","きしかいせい","1","-","100","15","100","0","物理","true","true"
"117","キノコのほうし","11","-","-","15","100","0","変化","false","true"
"118","きゅうけつ","6","80","130","10","100","0","物理","true","true"
"119","きょじゅうざん","8","100","130","5","100","0","物理","true","true"
"120","きょじゅうだん","8","100","130","5","100","0","物理","true","true"
"121","キョダイカンロ","11","-","-","0","-","0","-","false","false"
"122","キョダイガンジン","10","-","-","0","-","0","-","false","false"
"123","キョダイゲンエイ","7","-","-","0","-","0","-","false","false"
"124","キョダイゲンスイ","15","-","-","0","-","0","-","false","false"
"125","キョダイコウジン","8","-","-","0","-","0","-","false","false"
"126","キョダイコバン","0","-","-","0","-","0","-","false","false"
"127","キョダイコワク","6","-","-","0","-","0","-","false","false"
"128","キョダイゴクエン","9","-","-","0","-","0","-","false","false"
"129","キョダイサイセイ","0","-","-","0","-","0","-","false","false"
"130","キョダイサジン","4","-","-","0","-","0","-","false","false"
"131","キョダイサンゲキ","11","-","-","0","-","0","-","false","false"
"132","キョダイシュウキ","3","-","-","0","-","0","-","false","false"
"133","キョダイシンゲキ","1","-","-","0","-","0","-","false","false"
"134","キョダイスイマ","16","-","-","0","-","0","-","false","false"
"135","キョダイセンリツ","14","-","-","0","-","0","-","false","false"
"136","キョダイダンエン","17","-","-","0","-","0","-","false","false"
"137","キョダイテンドウ","13","-","-","0","-","0","-","false","false"
"138","キョダイテンバツ","17","-","-","0","-","0","-","false","false"
"139","キョダイバンライ","12","-","-","0","-","0","-","false","false"
"140","キョダイヒャッカ","9","-","-","0","-","0","-","false","false"
"141","キョダイフウゲキ","2","-","-","0","-","0","-","false","false"
"142","キョダイフンセキ","5","-","-","0","-","0","-","false","false"
"143","キョダイホーヨー","0","-","-","0","-","0","-","false","false"
"144","キョダイホウマツ","10","-","-","0","-","0","-","false","false"
"145","きりさく","0","70","120","20","100","0","物理","true","true"
"146","きりばらい","2","-","-","15","-","0","変化","false","true"
"147","キングシールド","8","-","-","10","-","4","変化","false","false"
"148","きんぞくおん","8","-","-","40","85","0","変化","false","true"
"149","ギアソーサー","8","50","130","15","85","0","物理","true","true"
"150","ギアチェンジ","8","-","-","10","-","0","変化","false","false"
"151","ギガインパクト","0","150","150","5","90","0","物理","true","true"
"152","ギガドレイン","11","75","130","10","100","0","特殊","false","true"
"153","くさのちかい","11","80","130","10","100","0","特殊","false","true"
"154","くさむすび","11","-","130","20","100","0","特殊","true","true"
"155","くすぐる","0","-","-","20","100","0","変化","false","true"
"156","くらいつく","16","80","130","10","100","0","物理","true","true"
"157","クラブハンマー","10","100","130","10","90","0","物理","true","true"
"158","クリアスモッグ","3","50","75","15","-","0","特殊","false","true"
"159","くろいきり","14","-","-","30","-","0","変化","false","false"
"160","くろいまなざし","0","-","-","5","-","0","変化","false","false"
"161","クロスサンダー","12","100","130","5","100","0","物理","false","true"
"162","クロスチョップ","1","100","90","5","80","0","物理","true","true"
"163","クロスフレイム","9","100","130","5","100","0","特殊","false","true"
"164","クロスポイズン","3","70","85","20","100","0","物理","true","true"
"165","グラスフィールド","11","-","-","10","-","0","変化","false","false"
"166","グラスミキサー","11","65","120","10","90","0","特殊","false","true"
"167","グロウパンチ","1","40","70","20","100","0","物理","true","true"
"168","けたぐり","1","-","100","20","100","0","物理","true","true"
"169","げきりん","15","120","140","10","100","0","物理","true","true"
"170","ゲップ","3","120","95","10","90","0","特殊","false","true"
"171","げんしのちから","5","60","110","5","100","0","特殊","false","true"
"172","コートチェンジ","0","-","-","10","100","0","変化","false","false"
"173","コールドフレア","14","140","140","5","90","0","特殊","false","true"
"174","こうげきしれい","6","90","130","15","100","0","物理","false","true"
"175","こうごうせい","11","-","-","5","-","0","変化","false","false"
"176","こうそくいどう","13","-","-","30","-","0","変化","false","false"
"177","こうそくスピン","0","50","100","40","100","0","物理","true","true"
"178","こおりのいぶき","14","60","110","10","90","0","特殊","false","true"
"179","こおりのキバ","14","65","120","15","95","0","物理","true","true"
"180","こおりのつぶて","14","40","90","30","100","1","物理","false","true"
"181","こころのめ","0","-","-","5","-","0","変化","false","true"
"182","こごえるかぜ","14","55","110","15","95","0","特殊","false","true"
"183","こごえるせかい","14","65","120","10","95","0","特殊","false","true"
"184","コスモパワー","13","-","-","20","-","0","変化","false","false"
"185","コットンガード","11","-","-","10","-","0","変化","false","false"
"186","こなゆき","14","40","90","25","100","0","特殊","false","true"
"187","このは","11","40","90","40","100","0","物理","false","true"
"188","このゆびとまれ","0","-","-","20","-","2","変化","false","false"
"189","コメットパンチ","8","90","130","10","90","0","物理","true","true"
"190","こらえる","0","-","-","10","-","4","変化","false","false"
"191","ころがる","5","30","90","20","90","0","物理","true","true"
"192","こわいかお","0","-","-","10","100","0","変化","false","true"
"193","ゴーストダイブ","7","90","130","10","100","0","物理","true","false"
"194","ゴッドバード","2","140","140","5","90","0","物理","false","true"
"195","サイケこうせん","13","65","120","20","100","0","特殊","false","true"
"196","サイコカッター","13","70","120","20","100","0","物理","false","true"
"197","サイコキネシス","13","90","130","10","100","0","特殊","false","true"
"198","サイコシフト","13","-","-","10","100","0","変化","false","true"
"199","サイコショック","13","80","130","10","100","0","特殊","false","true"
"200","サイコファング","13","85","130","10","100","0","物理","true","true"
"201","サイコフィールド","13","-","-","10","-","0","変化","false","false"
"202","サイコブレイク","13","100","130","10","100","0","特殊","false","true"
"203","サイドチェンジ","13","-","-","15","-","2","変化","false","false"
"204","さいはい","13","-","-","15","-","0","変化","false","true"
"205","さいみんじゅつ","13","-","-","20","60","0","変化","false","true"
"206","さきおくり","16","-","-","15","100","0","変化","false","true"
"207","さわぐ","0","90","130","10","100","0","特殊","false","true"
"208","シェルブレード","10","75","130","10","95","0","物理","true","true"
"209","しおふき","10","150","150","5","100","0","特殊","false","true"
"210","しおみず","10","65","120","10","100","0","特殊","false","true"
"211","シザークロス","6","80","130","15","100","0","物理","true","true"
"212","しぜんのちから","0","-","-","20","-","0","変化","false","false"
"213","したでなめる","7","30","90","30","100","0","物理","true","true"
"214","しっぺがえし","16","50","100","10","100","0","物理","true","true"
"215","しっぽをふる","0","-","-","30","100","0","変化","false","true"
"216","しねんのずつき","13","80","130","15","90","0","物理","true","true"
"217","しびれごな","11","-","-","30","75","0","変化","false","true"
"218","しめつける","0","15","90","20","85","0","物理","true","true"
"219","シャドークロー","7","70","120","15","100","0","物理","true","true"
"220","シャドースチール","7","90","130","10","100","0","物理","true","true"
"221","シャドーパンチ","7","60","110","20","-","0","物理","true","true"
"222","シャドーボール","7","80","130","15","100","0","特殊","false","true"
"223","シャドーレイ","7","100","130","5","100","0","特殊","false","true"
"224","しろいきり","14","-","-","30","-","0","変化","false","false"
"225","しんくうは","1","40","70","30","100","1","特殊","false","true"
"226","しんそく","0","80","130","5","100","2","物理","true","true"
"227","しんぴのつるぎ","1","85","90","10","100","0","特殊","false","true"
"228","しんぴのまもり","0","-","-","25","-","0","変化","false","false"
"229","シンプルビーム","0","-","-","15","100","0","変化","false","true"
"230","じこあんじ","0","-","-","10","-","0","変化","false","false"
"231","じこさいせい","0","-","-","10","-","0","変化","false","false"
"232","じごくぐるま","1","80","90","20","80","0","物理","true","true"
"233","じごくづき","16","80","130","15","100","0","物理","true","true"
"234","じしん","4","100","130","10","100","0","物理","false","true"
"235","じたばた","0","-","130","15","100","0","物理","true","true"
"236","じだんだ","4","75","130","10","100","0","物理","true","true"
"237","じならし","4","60","110","20","100","0","物理","false","true"
"238","じばく","0","200","150","5","100","0","物理","false","true"
"239","じばそうさ","12","-","-","20","-","0","変化","false","false"
"240","ジャイロボール","8","-","130","5","100","0","物理","true","true"
"241","じゃれつく","17","90","130","10","90","0","物理","true","true"
"242","じゅうでん","12","-","-","20","-","0","変化","false","false"
"243","10まんばりき","4","95","130","10","95","0","物理","true","true"
"244","10まんボルト","12","90","130","15","100","0","特殊","false","true"
"245","じゅうりょく","13","-","-","5","-","0","変化","false","false"
"246","じょうか","3","-","-","20","-","0","変化","false","true"
"247","じわれ","4","-","130","5","30","0","物理","false","true"
"248","じんつうりき","13","80","130","20","100","0","特殊","false","true"
"249","スイープビンタ","0","25","130","10","85","0","物理","true","true"
"250","すいとる","11","20","90","25","100","0","特殊","false","true"
"251","スキルスワップ","13","-","-","10","-","0","変化","false","true"
"252","スケイルノイズ","15","110","140","5","100","0","特殊","false","true"
"253","スターアサルト","1","150","100","5","100","0","物理","false","true"
"254","すてゼリフ","16","-","-","20","100","0","変化","false","true"
"255","すてみタックル","0","120","140","15","100","0","物理","true","true"
"256","ステルスロック","5","-","-","20","-","0","変化","false","false"
"257","ストーンエッジ","5","100","130","5","80","0","物理","false","true"
"258","すなあらし","5","-","-","10","-","0","変化","false","false"
"259","すなかけ","4","-","-","15","100","0","変化","false","true"
"260","すなじごく","4","35","90","15","85","0","物理","false","true"
"261","スパーク","12","65","120","20","100","0","物理","true","true"
"262","スピードスター","0","60","110","20","-","0","特殊","false","true"
"263","スピードスワップ","13","-","-","10","-","0","変化","false","true"
"264","スマートホーン","8","70","120","10","-","0","物理","true","true"
