"pokemonId","evolutionChainId","order"
"n1","n1","1"
"n1","n2","2"
"n1","n3","3"
"n2","n1","1"
"n2","n2","2"
"n2","n3","3"
"n3","n1","1"
"n3","n2","2"
"n3","n3","3"
"n4","n4","1"
"n4","n5","2"
"n4","n6","3"
"n5","n4","1"
"n5","n5","2"
"n5","n6","3"
"n6","n4","1"
"n6","n5","2"
"n6","n6","3"
"n7","n7","1"
"n7","n8","2"
"n7","n9","3"
"n8","n7","1"
"n8","n8","2"
"n8","n9","3"
"n9","n7","1"
"n9","n8","2"
"n9","n9","3"
"n10","n10","1"
"n10","n11","2"
"n10","n12","3"
"n11","n10","1"
"n11","n11","2"
"n11","n12","3"
"n12","n10","1"
"n12","n11","2"
"n12","n12","3"
"n25","n172","1"
"n25","n25","2"
"n25","n26","3"
"n25","n26","4"
"n25","n26a","5"
"n26","n172","1"
"n26","n25","2"
"n26","n26","3"
"n26","n26","4"
"n26","n26a","5"
"n26a","n172","1"
"n26a","n25","2"
"n26a","n26","3"
"n26a","n26","4"
"n26a","n26a","5"
"n35","n173","1"
"n35","n35","2"
"n35","n36","3"
"n36","n173","1"
"n36","n35","2"
"n36","n36","3"
"n37","n37","1"
"n37","n38","2"
"n37a","n37a","1"
"n37a","n38a","2"
"n38","n37","1"
"n38","n38","2"
"n38a","n37a","1"
"n38a","n38a","2"
"n43","n43","1"
"n43","n44","2"
"n43","n45","3"
"n43","n182","4"
"n44","n43","1"
"n44","n44","2"
"n44","n45","3"
"n44","n182","4"
"n45","n43","1"
"n45","n44","2"
"n45","n45","3"
"n45","n182","4"
"n50","n50","1"
"n50","n51","2"
"n50a","n50a","1"
"n50a","n51a","2"
"n51","n50","1"
"n51","n51","2"
"n51a","n50a","1"
"n51a","n51a","2"
"n52","n52","1"
"n52","n53","2"
"n52a","n52a","1"
"n52a","n53a","2"
"n52g","n52g","1"
"n52g","n863","2"
"n53","n52","1"
"n53","n53","2"
"n53a","n52a","1"
"n53a","n53a","2"
"n58","n58","1"
"n58","n59","2"
"n59","n58","1"
"n59","n59","2"
"n66","n66","1"
"n66","n67","2"
"n66","n68","3"
"n67","n66","1"
"n67","n67","2"
"n67","n68","3"
"n68","n66","1"
"n68","n67","2"
"n68","n68","3"
"n77","n77","1"
"n77","n78","2"
"n77g","n77g","1"
"n77g","n78g","2"
"n78","n77","1"
"n78","n78","2"
"n78g","n77g","1"
"n78g","n78g","2"
"n83","n83","1"
"n83g","n83g","1"
"n83g","n865","2"
"n90","n90","1"
"n90","n91","2"
"n91","n90","1"
"n91","n91","2"
"n92","n92","1"
"n92","n93","2"
"n92","n94","3"
"n93","n92","1"
"n93","n93","2"
"n93","n94","3"
"n94","n92","1"
"n94","n93","2"
"n94","n94","3"
"n95","n95","1"
"n95","n208","2"
"n98","n98","1"
"n98","n99","2"
"n99","n98","1"
"n99","n99","2"
"n106","n236","1"
"n106","n106","2"
"n106","n107","3"
"n106","n237","4"
"n107","n236","1"
"n107","n106","2"
"n107","n107","3"
"n107","n237","4"
"n109","n109","1"
"n109","n110","2"
"n109","n110g","3"
"n110","n109","1"
"n110","n110","2"
"n110","n110g","3"
"n110g","n109","1"
