"id","no","height","weight","order","isDefault"
"n1","001","7","69","1","true"
"n2","002","10","130","2","true"
"n3","003","20","1000","3","true"
"n4","004","6","85","4","true"
"n5","005","11","190","5","true"
"n6","006","17","905","6","true"
"n7","007","5","90","7","true"
"n8","008","10","225","8","true"
"n9","009","16","855","9","true"
"n10","010","3","29","10","true"
"n11","011","7","99","11","true"
"n12","012","11","320","12","true"
"n25","025","4","60","25","true"
"n26","026","8","300","26","true"
"n26a","026","7","210","26","false"
"n35","035","6","75","35","true"
"n36","036","13","400","36","true"
"n37","037","6","99","37","true"
"n37a","037","6","99","37","false"
"n38","038","11","199","38","true"
"n38a","038","11","199","38","false"
"n43","043","5","54","43","true"
"n44","044","8","86","44","true"
"n45","045","12","186","45","true"
"n50","050","2","8","50","true"
"n50a","050","2","10","50","false"
"n51","051","7","333","51","true"
"n51a","051","7","666","51","false"
"n52","052","4","42","52","true"
"n52a","052","4","42","52","false"
"n52g","052","4","75","52","false"
"n53","053","10","320","53","true"
"n53a","053","11","330","53","false"
"n58","058","7","190","58","true"
"n59","059","19","1550","59","true"
"n66","066","8","195","66","true"
"n67","067","15","705","67","true"
"n68","068","16","1300","68","true"
"n77","077","10","300","77","true"
"n77g","077","8","240","77","false"
"n78","078","17","950","78","true"
"n78g","078","17","800","78","false"
"n83","083","8","150","83","true"
"n83g","083","8","420","83","false"
"n90","090","3","40","90","true"
"n91","091","15","1325","91","true"
"n92","092","13","1","92","true"
"n93","093","16","1","93","true"
"n94","094","15","405","94","true"
"n95","095","88","2100","95","true"
"n98","098","4","65","98","true"
"n99","099","13","600","99","true"
"n106","106","15","498","106","true"
"n107","107","14","502","107","true"
"n109","109","6","10","109","true"
"n110","110","12","95","110","true"
"n110g","110","30","160","110","false"
"n111","111","10","1150","111","true"
"n112","112","19","1200","112","true"
"n118","118","6","150","118","true"
"n119","119","13","390","119","true"
"n122","122","13","545","122","true"
"n122g","122","14","568","122","false"
"n129","129","9","100","129","true"
"n130","130","65","2350","130","true"
"n131","131","25","2200","131","true"
"n132","132","3","40","132","true"
"n133","133","3","65","133","true"
"n134","134","10","290","134","true"
"n135","135","8","245","135","true"
"n136","136","9","250","136","true"
"n143","143","21","4600","143","true"
"n150","150","20","1220","150","true"
"n151","151","4","40","151","true"
"n163","163","7","212","163","true"
"n164","164","16","408","164","true"
"n170","170","5","120","170","true"
"n171","171","12","225","171","true"
"n172","172","3","20","172","true"
"n173","173","3","30","173","true"
"n175","175","3","15","175","true"
"n176","176","6","32","176","true"
"n177","177","2","20","177","true"
"n178","178","15","150","178","true"
"n182","182","4","58","182","true"
"n185","185","12","380","185","true"
"n194","194","4","85","194","true"
"n195","195","14","750","195","true"
"n196","196","9","265","196","true"
"n197","197","10","270","197","true"
"n202","202","13","285","202","true"
"n208","208","92","4000","208","true"
"n211","211","5","39","211","true"
"n213","213","6","205","213","true"
"n215","215","9","280","215","true"
"n220","220","4","65","220","true"
"n221","221","11","558","221","true"
"n222","222","6","50","222","true"
"n222g","222","6","5","222","false"
"n223","223","6","120","223","true"
"n224","224","9","285","224","true"
"n225","225","9","160","225","true"
"n226","226","21","2200","226","true"
"n236","236","7","210","236","true"
"n237","237","14","480","237","true"
"n246","246","6","720","246","true"
"n247","247","12","1520","247","true"
"n248","248","20","2020","248","true"
"n251","251","6","50","251","true"
"n263","263","4","175","263","true"
"n263g","263","4","175","263","false"
"n264","264","5","325","264","true"
